Date,GeoId,Count_Person_25To64Years_EnrolledInEducationOrTraining_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_EnrolledInEducationOrTraining_Male_AsAFractionOfCount_Person_25To64Years_Male,Count_Person_25To64Years_EnrolledInEducationOrTraining_AsAFractionOfCount_Person_25To64Years
2019,dcid:nuts/SI,12.8,9.7,11.2
2001,dcid:nuts/SI0,7.9,6.7,7.3
2002,dcid:nuts/SI0,8.9,7.9,8.4
2003,dcid:nuts/SI0,14.7,12.0,13.3
2004,dcid:nuts/SI0,17.6,14.8,16.2
2005,dcid:nuts/SI0,17.2,13.6,15.3
2006,dcid:nuts/SI0,16.5,13.9,15.2
2007,dcid:nuts/SI0,16.3,13.9,15.1
2008,dcid:nuts/SI0,15.7,12.8,14.3
2009,dcid:nuts/SI0,16.6,13.1,14.8
2010,dcid:nuts/SI0,18.5,14.3,16.4
2011,dcid:nuts/SI0,18.3,13.8,16.0
2012,dcid:nuts/SI0,16.2,11.6,13.8
2013,dcid:nuts/SI0,14.6,10.5,12.5
2014,dcid:nuts/SI0,13.8,10.5,12.1
2015,dcid:nuts/SI0,13.3,10.7,11.9
2016,dcid:nuts/SI0,13.2,10.2,11.6
2017,dcid:nuts/SI0,14.1,10.0,12.0
2018,dcid:nuts/SI0,13.5,9.4,11.4
2019,dcid:nuts/SI0,12.8,9.7,11.2
2001,dcid:nuts/SI01,7.1,6.4,6.7
2002,dcid:nuts/SI01,7.5,7.2,7.4
2003,dcid:nuts/SI01,12.8,11.0,11.9
2004,dcid:nuts/SI01,15.7,13.3,14.5
2005,dcid:nuts/SI01,14.1,11.8,12.9
2006,dcid:nuts/SI01,14.3,12.9,13.6
2007,dcid:nuts/SI01,14.8,12.5,13.6
2008,dcid:nuts/SI01,14.0,11.3,12.6
2009,dcid:nuts/SI01,15.1,11.8,13.4
2001,dcid:nuts/SI02,9.0,7.2,8.1
2002,dcid:nuts/SI02,10.4,8.8,9.6
2003,dcid:nuts/SI02,16.9,13.2,15.1
2004,dcid:nuts/SI02,19.9,16.5,18.2
2005,dcid:nuts/SI02,20.7,15.7,18.2
2006,dcid:nuts/SI02,19.1,15.3,17.2
2007,dcid:nuts/SI02,18.1,15.5,16.8
2008,dcid:nuts/SI02,17.7,14.7,16.2
2009,dcid:nuts/SI02,18.3,14.7,16.5
2010,dcid:nuts/SI03,16.6,13.1,14.8
2011,dcid:nuts/SI03,16.3,12.2,14.2
2012,dcid:nuts/SI03,14.4,10.3,12.3
2013,dcid:nuts/SI03,13.1,9.2,11.1
2014,dcid:nuts/SI03,12.6,9.7,11.1
2015,dcid:nuts/SI03,12.0,9.3,10.6
2016,dcid:nuts/SI03,12.0,9.1,10.5
2017,dcid:nuts/SI03,12.2,9.0,10.6
2018,dcid:nuts/SI03,12.0,9.1,10.5
2019,dcid:nuts/SI03,11.8,9.1,10.4
2010,dcid:nuts/SI04,20.8,15.8,18.3
2011,dcid:nuts/SI04,20.7,15.8,18.2
2012,dcid:nuts/SI04,18.2,13.2,15.7
2013,dcid:nuts/SI04,16.4,12.1,14.2
2014,dcid:nuts/SI04,15.1,11.6,13.3
2015,dcid:nuts/SI04,14.7,12.3,13.5
2016,dcid:nuts/SI04,14.6,11.5,13.0
2017,dcid:nuts/SI04,16.1,11.1,13.6
2018,dcid:nuts/SI04,15.2,9.7,12.4
2019,dcid:nuts/SI04,13.9,10.3,12.0
2002,dcid:nuts/SK,8.8,8.2,8.5
2003,dcid:nuts/SK,3.9,3.5,3.7
2004,dcid:nuts/SK,4.8,3.8,4.3
2005,dcid:nuts/SK,5.0,4.3,4.6
2006,dcid:nuts/SK,4.6,4.0,4.3
2007,dcid:nuts/SK,4.6,3.7,4.1
2008,dcid:nuts/SK,4.4,2.8,3.6
2009,dcid:nuts/SK,3.7,2.5,3.1
2010,dcid:nuts/SK,3.7,2.5,3.1
2011,dcid:nuts/SK,4.6,3.5,4.1
2012,dcid:nuts/SK,3.7,2.8,3.2
2013,dcid:nuts/SK,3.3,2.9,3.1
2014,dcid:nuts/SK,3.2,3.0,3.1
2015,dcid:nuts/SK,3.4,2.7,3.1
2016,dcid:nuts/SK,3.2,2.6,2.9
2017,dcid:nuts/SK,3.3,3.5,3.4
2018,dcid:nuts/SK,3.8,4.2,4.0
2019,dcid:nuts/SK,3.6,3.6,3.6
2002,dcid:nuts/SK0,8.8,8.2,8.5
2003,dcid:nuts/SK0,3.9,3.5,3.7
2004,dcid:nuts/SK0,4.8,3.8,4.3
2005,dcid:nuts/SK0,5.0,4.3,4.6
2006,dcid:nuts/SK0,4.6,4.0,4.3
2007,dcid:nuts/SK0,4.6,3.7,4.1
2008,dcid:nuts/SK0,4.4,2.8,3.6
2009,dcid:nuts/SK0,3.7,2.5,3.1
2010,dcid:nuts/SK0,3.7,2.5,3.1
2011,dcid:nuts/SK0,4.6,3.5,4.1
2012,dcid:nuts/SK0,3.7,2.8,3.2
2013,dcid:nuts/SK0,3.3,2.9,3.1
2014,dcid:nuts/SK0,3.2,3.0,3.1
2015,dcid:nuts/SK0,3.4,2.7,3.1
2016,dcid:nuts/SK0,3.2,2.6,2.9
2017,dcid:nuts/SK0,3.3,3.5,3.4
2018,dcid:nuts/SK0,3.8,4.2,4.0
2019,dcid:nuts/SK0,3.6,3.6,3.6
2002,dcid:nuts/SK01,10.4,11.4,10.9
2003,dcid:nuts/SK01,11.4,9.6,10.5
2004,dcid:nuts/SK01,13.5,10.9,12.3
2005,dcid:nuts/SK01,15.2,14.4,14.8
2006,dcid:nuts/SK01,14.5,15.3,14.9
2007,dcid:nuts/SK01,13.4,13.5,13.4
2008,dcid:nuts/SK01,12.4,9.1,10.8
2009,dcid:nuts/SK01,9.4,6.3,7.9
2010,dcid:nuts/SK01,7.4,5.2,6.4
2011,dcid:nuts/SK01,9.0,5.9,7.5
2012,dcid:nuts/SK01,8.0,6.2,7.2
2013,dcid:nuts/SK01,7.9,7.0,7.4
2014,dcid:nuts/SK01,8.3,6.7,7.6
2015,dcid:nuts/SK01,7.9,5.9,6.9
2016,dcid:nuts/SK01,8.7,5.6,7.2
2017,dcid:nuts/SK01,6.0,5.7,5.8
2018,dcid:nuts/SK01,7.7,7.1,7.4
2019,dcid:nuts/SK01,6.8,7.1,7.0
2002,dcid:nuts/SK02,5.2,3.8,4.5
2003,dcid:nuts/SK02,2.4,2.0,2.2
2004,dcid:nuts/SK02,3.3,2.8,3.0
2005,dcid:nuts/SK02,3.4,2.9,3.2
2006,dcid:nuts/SK02,2.8,2.5,2.6
2007,dcid:nuts/SK02,3.1,2.2,2.7
2008,dcid:nuts/SK02,3.0,2.1,2.6
2009,dcid:nuts/SK02,2.5,2.2,2.4
2010,dcid:nuts/SK02,2.6,2.3,2.5
2011,dcid:nuts/SK02,3.7,3.5,3.6
2012,dcid:nuts/SK02,3.0,2.7,2.8
2013,dcid:nuts/SK02,2.7,2.7,2.7
2014,dcid:nuts/SK02,2.4,2.8,2.6
2015,dcid:nuts/SK02,3.2,3.0,3.1
2016,dcid:nuts/SK02,2.3,2.6,2.5
2017,dcid:nuts/SK02,2.9,3.5,3.2
2018,dcid:nuts/SK02,3.2,3.7,3.4
2019,dcid:nuts/SK02,2.8,2.4,2.6
2002,dcid:nuts/SK03,14.9,14.3,14.6
2003,dcid:nuts/SK03,5.1,5.6,5.3
2004,dcid:nuts/SK03,5.6,4.4,5.0
2005,dcid:nuts/SK03,5.6,4.6,5.1
2006,dcid:nuts/SK03,4.8,3.8,4.3
2007,dcid:nuts/SK03,4.5,3.5,4.0
2008,dcid:nuts/SK03,4.3,2.7,3.5
2009,dcid:nuts/SK03,3.0,2.2,2.6
2010,dcid:nuts/SK03,3.5,2.6,3.0
2011,dcid:nuts/SK03,4.2,3.2,3.7
2012,dcid:nuts/SK03,3.6,2.7,3.1
2013,dcid:nuts/SK03,3.0,2.6,2.8
2014,dcid:nuts/SK03,3.1,2.8,2.9
2015,dcid:nuts/SK03,3.1,2.2,2.6
2016,dcid:nuts/SK03,2.8,2.7,2.7
2017,dcid:nuts/SK03,2.7,2.5,2.6
2018,dcid:nuts/SK03,3.7,3.6,3.6
2019,dcid:nuts/SK03,4.0,4.0,4.0
2002,dcid:nuts/SK04,7.2,7.1,7.1
2003,dcid:nuts/SK04,1.4,1.1,1.2
2004,dcid:nuts/SK04,2.1,1.6,1.9
2005,dcid:nuts/SK04,1.8,1.8,1.8
2006,dcid:nuts/SK04,2.2,1.3,1.8
2007,dcid:nuts/SK04,2.6,1.6,2.1
2008,dcid:nuts/SK04,2.6,1.2,1.9
2009,dcid:nuts/SK04,3.1,1.4,2.3
2010,dcid:nuts/SK04,3.6,1.4,2.5
2011,dcid:nuts/SK04,4.2,2.9,3.6
2012,dcid:nuts/SK04,2.6,1.7,2.2
2013,dcid:nuts/SK04,2.1,2.0,2.0
2014,dcid:nuts/SK04,2.1,2.0,2.1
2015,dcid:nuts/SK04,2.0,1.6,1.8
2016,dcid:nuts/SK04,2.2,1.4,1.8
2017,dcid:nuts/SK04,2.9,3.6,3.3
2018,dcid:nuts/SK04,2.8,4.1,3.5
2019,dcid:nuts/SK04,2.9,3.4,3.1
2006,dcid:nuts/TR,1.7,2.4,2.0
2007,dcid:nuts/TR,1.4,2.1,1.8
2008,dcid:nuts/TR,1.8,2.4,2.1
2009,dcid:nuts/TR,2.4,2.8,2.6
2010,dcid:nuts/TR,2.8,3.1,2.9
2011,dcid:nuts/TR,3.2,3.5,3.4
2012,dcid:nuts/TR,3.8,4.0,3.9
2013,dcid:nuts/TR,4.5,4.6,4.5
2014,dcid:nuts/TR,5.5,5.8,5.7
2015,dcid:nuts/TR,5.3,5.6,5.5
2016,dcid:nuts/TR,5.6,6.0,5.8
2017,dcid:nuts/TR,5.6,6.1,5.8
2018,dcid:nuts/TR,6.0,6.3,6.2
2019,dcid:nuts/TR,5.7,5.7,5.7
2006,dcid:nuts/TR1,2.0,2.5,2.3
2007,dcid:nuts/TR1,1.7,2.1,1.9
2008,dcid:nuts/TR1,2.4,2.5,2.4
2009,dcid:nuts/TR1,2.9,3.1,3.0
2010,dcid:nuts/TR1,2.9,2.7,2.8
2011,dcid:nuts/TR1,3.5,3.7,3.6
2012,dcid:nuts/TR1,4.1,4.4,4.3
2013,dcid:nuts/TR1,4.8,5.0,4.9
2014,dcid:nuts/TR1,6.9,7.0,7.0
2015,dcid:nuts/TR1,6.9,6.8,6.8
2016,dcid:nuts/TR1,7.4,7.6,7.5
2017,dcid:nuts/TR1,8.2,8.2,8.2
2018,dcid:nuts/TR1,7.9,8.4,8.2
2019,dcid:nuts/TR1,7.6,7.2,7.4
2006,dcid:nuts/TR10,2.0,2.5,2.3
2007,dcid:nuts/TR10,1.7,2.1,1.9
2008,dcid:nuts/TR10,2.4,2.5,2.4
2009,dcid:nuts/TR10,2.9,3.1,3.0
2010,dcid:nuts/TR10,2.9,2.7,2.8
2011,dcid:nuts/TR10,3.5,3.7,3.6
2012,dcid:nuts/TR10,4.1,4.4,4.3
2013,dcid:nuts/TR10,4.8,5.0,4.9
2014,dcid:nuts/TR10,6.9,7.0,7.0
2015,dcid:nuts/TR10,6.9,6.8,6.8
2016,dcid:nuts/TR10,7.4,7.6,7.5
2017,dcid:nuts/TR10,8.2,8.2,8.2
2018,dcid:nuts/TR10,7.9,8.4,8.2
2019,dcid:nuts/TR10,7.6,7.2,7.4
2006,dcid:nuts/TR2,2.1,2.9,2.5
2007,dcid:nuts/TR2,1.8,2.2,2.0
2008,dcid:nuts/TR2,2.0,2.7,2.4
2009,dcid:nuts/TR2,2.7,3.2,3.0
2010,dcid:nuts/TR2,3.0,3.8,3.4
2011,dcid:nuts/TR2,3.6,3.7,3.7
2012,dcid:nuts/TR2,3.7,3.6,3.6
2013,dcid:nuts/TR2,4.3,3.4,3.9
2014,dcid:nuts/TR2,4.1,4.6,4.4
2015,dcid:nuts/TR2,4.8,4.9,4.9
2016,dcid:nuts/TR2,4.7,5.0,4.9
2017,dcid:nuts/TR2,5.3,5.3,5.3
2018,dcid:nuts/TR2,4.9,4.8,4.8
2019,dcid:nuts/TR2,5.5,4.9,5.2
2006,dcid:nuts/TR21,3.4,4.4,3.9
2007,dcid:nuts/TR21,2.3,2.7,2.5
2008,dcid:nuts/TR21,3.1,3.7,3.4
2009,dcid:nuts/TR21,3.3,3.3,3.3
2010,dcid:nuts/TR21,3.5,4.5,4.0
2011,dcid:nuts/TR21,5.0,4.8,4.9
2012,dcid:nuts/TR21,4.5,4.5,4.5
2013,dcid:nuts/TR21,5.2,3.8,4.5
2014,dcid:nuts/TR21,4.4,5.3,4.9
2015,dcid:nuts/TR21,4.9,5.3,5.1
2016,dcid:nuts/TR21,4.9,5.1,5.0
2017,dcid:nuts/TR21,6.2,5.4,5.8
2018,dcid:nuts/TR21,5.6,5.2,5.4
2019,dcid:nuts/TR21,6.6,5.6,6.1
2006,dcid:nuts/TR22,1.0,1.5,1.3
2007,dcid:nuts/TR22,1.4,1.8,1.6
2008,dcid:nuts/TR22,1.1,1.8,1.5
2009,dcid:nuts/TR22,2.1,3.2,2.6
2010,dcid:nuts/TR22,2.5,3.1,2.8
2011,dcid:nuts/TR22,2.3,2.5,2.4
2012,dcid:nuts/TR22,2.9,2.7,2.8
2013,dcid:nuts/TR22,3.3,3.0,3.2
2014,dcid:nuts/TR22,3.8,4.0,3.9
2015,dcid:nuts/TR22,4.7,4.6,4.6
2016,dcid:nuts/TR22,4.5,5.0,4.8
2017,dcid:nuts/TR22,4.5,5.3,4.9
2018,dcid:nuts/TR22,4.1,4.3,4.2
2019,dcid:nuts/TR22,4.4,4.1,4.3
2006,dcid:nuts/TR3,1.3,1.9,1.6
2007,dcid:nuts/TR3,1.4,1.8,1.6
2008,dcid:nuts/TR3,1.5,2.0,1.8
2009,dcid:nuts/TR3,2.3,2.4,2.3
2010,dcid:nuts/TR3,2.6,2.7,2.6
2011,dcid:nuts/TR3,3.2,3.7,3.4
2012,dcid:nuts/TR3,3.8,3.9,3.8
2013,dcid:nuts/TR3,3.6,4.1,3.9
2014,dcid:nuts/TR3,3.9,4.8,4.4
2015,dcid:nuts/TR3,3.7,4.5,4.1
2016,dcid:nuts/TR3,4.3,4.9,4.6
2017,dcid:nuts/TR3,4.2,5.1,4.7
2018,dcid:nuts/TR3,5.1,5.2,5.1
2019,dcid:nuts/TR3,4.4,4.3,4.4
2006,dcid:nuts/TR31,1.8,2.3,2.1
2007,dcid:nuts/TR31,1.9,2.1,2.0
2008,dcid:nuts/TR31,1.7,2.8,2.2
2009,dcid:nuts/TR31,2.8,2.9,2.9
2010,dcid:nuts/TR31,3.2,3.4,3.3
2011,dcid:nuts/TR31,4.3,5.4,4.8
2012,dcid:nuts/TR31,5.3,5.3,5.3
2013,dcid:nuts/TR31,5.0,5.6,5.3
2014,dcid:nuts/TR31,4.9,5.9,5.4
2015,dcid:nuts/TR31,4.3,4.9,4.6
2016,dcid:nuts/TR31,5.5,6.3,5.9
2017,dcid:nuts/TR31,5.6,7.1,6.3
2018,dcid:nuts/TR31,6.7,7.4,7.0
2019,dcid:nuts/TR31,5.7,5.7,5.7
2006,dcid:nuts/TR32,1.5,1.5,1.5
2007,dcid:nuts/TR32,1.6,2.1,1.9
2008,dcid:nuts/TR32,2.1,1.8,2.0
2009,dcid:nuts/TR32,3.1,2.8,3.0
2010,dcid:nuts/TR32,3.2,2.8,3.0
2011,dcid:nuts/TR32,3.1,3.2,3.1
2012,dcid:nuts/TR32,3.8,3.8,3.8
2013,dcid:nuts/TR32,3.3,4.0,3.6
2014,dcid:nuts/TR32,4.1,5.0,4.6
2015,dcid:nuts/TR32,4.1,4.3,4.2
2016,dcid:nuts/TR32,4.5,4.4,4.4
2017,dcid:nuts/TR32,3.7,4.5,4.1
2018,dcid:nuts/TR32,4.6,3.8,4.2
2019,dcid:nuts/TR32,4.6,3.7,4.2
2006,dcid:nuts/TR33,0.6,1.6,1.1
2007,dcid:nuts/TR33,0.5,1.2,0.9
2008,dcid:nuts/TR33,0.6,1.2,0.9
2009,dcid:nuts/TR33,0.7,1.1,0.9
2010,dcid:nuts/TR33,1.1,1.5,1.3
2011,dcid:nuts/TR33,1.5,1.8,1.7
2012,dcid:nuts/TR33,1.3,1.8,1.5
2013,dcid:nuts/TR33,1.8,2.0,1.9
2014,dcid:nuts/TR33,2.3,3.1,2.7
2015,dcid:nuts/TR33,2.6,4.1,3.3
2016,dcid:nuts/TR33,2.4,3.4,2.9
2017,dcid:nuts/TR33,2.8,2.8,2.8
2018,dcid:nuts/TR33,3.3,3.1,3.2
2019,dcid:nuts/TR33,2.4,2.8,2.6
2006,dcid:nuts/TR4,1.8,2.6,2.2
2007,dcid:nuts/TR4,1.4,2.3,1.8
2008,dcid:nuts/TR4,1.5,2.0,1.8
2009,dcid:nuts/TR4,2.1,2.3,2.2
2010,dcid:nuts/TR4,2.5,2.8,2.6
2011,dcid:nuts/TR4,3.3,3.6,3.5
2012,dcid:nuts/TR4,4.0,3.8,3.9
2013,dcid:nuts/TR4,5.1,4.8,4.9
2014,dcid:nuts/TR4,6.8,5.9,6.3
2015,dcid:nuts/TR4,5.6,5.0,5.3
2016,dcid:nuts/TR4,6.4,5.0,5.7
2017,dcid:nuts/TR4,6.1,5.5,5.8
2018,dcid:nuts/TR4,6.1,6.0,6.1
2019,dcid:nuts/TR4,5.7,5.4,5.5
2006,dcid:nuts/TR41,1.8,2.3,2.0
2007,dcid:nuts/TR41,1.4,2.3,1.8
2008,dcid:nuts/TR41,1.2,1.7,1.4
2009,dcid:nuts/TR41,1.9,2.1,2.0
2010,dcid:nuts/TR41,1.8,2.2,2.0
2011,dcid:nuts/TR41,2.2,2.7,2.5
2012,dcid:nuts/TR41,2.6,2.8,2.7
2013,dcid:nuts/TR41,3.1,4.0,3.5
2014,dcid:nuts/TR41,3.9,4.7,4.3
2015,dcid:nuts/TR41,3.5,3.5,3.5
2016,dcid:nuts/TR41,3.9,4.0,3.9
2017,dcid:nuts/TR41,4.0,4.6,4.3
2018,dcid:nuts/TR41,4.2,5.0,4.6
2019,dcid:nuts/TR41,4.0,4.1,4.1
2006,dcid:nuts/TR42,1.9,2.8,2.4
2007,dcid:nuts/TR42,1.4,2.3,1.8
2008,dcid:nuts/TR42,1.9,2.3,2.1
2009,dcid:nuts/TR42,2.3,2.6,2.5
2010,dcid:nuts/TR42,3.2,3.4,3.3
2011,dcid:nuts/TR42,4.6,4.6,4.6
2012,dcid:nuts/TR42,5.4,4.9,5.2
2013,dcid:nuts/TR42,7.2,5.6,6.4
2014,dcid:nuts/TR42,10.0,7.3,8.6
2015,dcid:nuts/TR42,8.0,6.5,7.3
2016,dcid:nuts/TR42,9.0,6.3,7.7
2017,dcid:nuts/TR42,8.4,6.4,7.4
2018,dcid:nuts/TR42,8.2,7.2,7.7
2019,dcid:nuts/TR42,7.5,6.8,7.2
2006,dcid:nuts/TR5,2.3,3.7,3.0
2007,dcid:nuts/TR5,2.1,3.2,2.6
2008,dcid:nuts/TR5,2.5,4.2,3.4
2009,dcid:nuts/TR5,3.2,4.3,3.8
2010,dcid:nuts/TR5,3.7,4.3,4.0
2011,dcid:nuts/TR5,3.9,4.4,4.1
2012,dcid:nuts/TR5,4.1,5.0,4.5
2013,dcid:nuts/TR5,5.3,5.8,5.6
2014,dcid:nuts/TR5,7.2,7.2,7.2
2015,dcid:nuts/TR5,7.1,7.2,7.1
2016,dcid:nuts/TR5,6.7,7.5,7.1
2017,dcid:nuts/TR5,6.7,7.7,7.2
2018,dcid:nuts/TR5,7.4,8.2,7.8
2019,dcid:nuts/TR5,7.6,7.4,7.5
2006,dcid:nuts/TR51,2.9,4.4,3.6
2007,dcid:nuts/TR51,2.2,3.3,2.8
2008,dcid:nuts/TR51,2.4,3.9,3.1
2009,dcid:nuts/TR51,2.9,4.0,3.4
2010,dcid:nuts/TR51,3.6,4.2,3.9
2011,dcid:nuts/TR51,4.0,4.7,4.4
2012,dcid:nuts/TR51,4.3,5.2,4.7
2013,dcid:nuts/TR51,5.6,6.3,5.9
2014,dcid:nuts/TR51,7.8,8.0,7.9
2015,dcid:nuts/TR51,7.8,7.7,7.7
2016,dcid:nuts/TR51,7.3,8.1,7.7
2017,dcid:nuts/TR51,7.5,8.5,8.0
2018,dcid:nuts/TR51,8.5,9.3,8.9
2019,dcid:nuts/TR51,8.9,8.5,8.7
2006,dcid:nuts/TR52,1.1,2.1,1.6
2007,dcid:nuts/TR52,1.7,2.8,2.2
2008,dcid:nuts/TR52,2.9,5.0,3.9
2009,dcid:nuts/TR52,4.1,5.2,4.6
2010,dcid:nuts/TR52,3.9,4.4,4.2
2011,dcid:nuts/TR52,3.4,3.7,3.6
2012,dcid:nuts/TR52,3.7,4.5,4.1
2013,dcid:nuts/TR52,4.7,4.8,4.8
2014,dcid:nuts/TR52,5.6,5.1,5.3
2015,dcid:nuts/TR52,5.4,5.8,5.6
2016,dcid:nuts/TR52,5.3,5.8,5.5
2017,dcid:nuts/TR52,4.6,5.3,5.0
2018,dcid:nuts/TR52,4.5,5.2,4.8
2019,dcid:nuts/TR52,4.3,4.5,4.4
2006,dcid:nuts/TR6,1.9,2.4,2.1
2007,dcid:nuts/TR6,1.6,2.3,1.9
2008,dcid:nuts/TR6,2.2,2.5,2.3
2009,dcid:nuts/TR6,2.8,3.1,2.9
2010,dcid:nuts/TR6,3.2,3.5,3.4
2011,dcid:nuts/TR6,3.2,3.3,3.3
2012,dcid:nuts/TR6,4.3,4.0,4.2
2013,dcid:nuts/TR6,5.3,4.5,4.9
2014,dcid:nuts/TR6,5.4,6.0,5.7
2015,dcid:nuts/TR6,5.1,5.4,5.2
2016,dcid:nuts/TR6,5.1,5.7,5.4
2017,dcid:nuts/TR6,4.7,5.3,5.0
2018,dcid:nuts/TR6,5.5,5.4,5.5
2019,dcid:nuts/TR6,4.9,4.9,4.9
2006,dcid:nuts/TR61,2.6,3.6,3.1
2007,dcid:nuts/TR61,2.7,3.4,3.1
2008,dcid:nuts/TR61,3.8,3.8,3.8
2009,dcid:nuts/TR61,4.5,5.1,4.8
2010,dcid:nuts/TR61,5.2,5.3,5.3
2011,dcid:nuts/TR61,4.7,4.4,4.6
2012,dcid:nuts/TR61,6.9,6.0,6.5
2013,dcid:nuts/TR61,7.3,6.9,7.1
2014,dcid:nuts/TR61,6.8,7.5,7.1
2015,dcid:nuts/TR61,6.5,6.9,6.7
2016,dcid:nuts/TR61,7.2,7.6,7.4
2017,dcid:nuts/TR61,6.6,8.0,7.3
2018,dcid:nuts/TR61,7.7,7.1,7.4
2019,dcid:nuts/TR61,7.0,6.5,6.7
2006,dcid:nuts/TR62,1.4,1.7,1.5
2007,dcid:nuts/TR62,1.0,1.7,1.3
2008,dcid:nuts/TR62,1.3,1.9,1.6
2009,dcid:nuts/TR62,2.2,2.1,2.1
2010,dcid:nuts/TR62,2.5,2.6,2.6
2011,dcid:nuts/TR62,2.8,2.5,2.7
2012,dcid:nuts/TR62,3.5,2.7,3.1
2013,dcid:nuts/TR62,4.8,4.2,4.5
2014,dcid:nuts/TR62,5.9,6.4,6.2
2015,dcid:nuts/TR62,5.4,5.1,5.3
2016,dcid:nuts/TR62,4.7,5.0,4.9
2017,dcid:nuts/TR62,4.0,3.9,4.0
2018,dcid:nuts/TR62,4.6,4.5,4.5
2019,dcid:nuts/TR62,4.1,4.6,4.4
2006,dcid:nuts/TR63,1.8,2.2,2.0
2007,dcid:nuts/TR63,1.5,1.9,1.7
2008,dcid:nuts/TR63,1.8,2.0,1.9
2009,dcid:nuts/TR63,1.8,2.4,2.1
2010,dcid:nuts/TR63,2.1,3.0,2.5
2011,dcid:nuts/TR63,2.2,3.2,2.7
2012,dcid:nuts/TR63,2.8,3.8,3.3
2013,dcid:nuts/TR63,3.9,2.4,3.2
2014,dcid:nuts/TR63,3.3,3.7,3.5
2015,dcid:nuts/TR63,3.1,4.0,3.5
2016,dcid:nuts/TR63,3.6,4.7,4.1
2017,dcid:nuts/TR63,3.6,4.2,3.9
2018,dcid:nuts/TR63,4.4,4.6,4.5
2019,dcid:nuts/TR63,3.7,3.5,3.6
2006,dcid:nuts/TR7,1.7,2.4,2.1
2007,dcid:nuts/TR7,1.2,1.9,1.5
2008,dcid:nuts/TR7,1.0,1.4,1.2
2009,dcid:nuts/TR7,1.6,2.1,1.8
2010,dcid:nuts/TR7,1.9,2.1,2.0
2011,dcid:nuts/TR7,1.9,2.7,2.3
2012,dcid:nuts/TR7,3.7,3.9,3.8
2013,dcid:nuts/TR7,4.2,3.8,4.0
2014,dcid:nuts/TR7,4.0,5.4,4.7
2015,dcid:nuts/TR7,4.0,5.4,4.7
2016,dcid:nuts/TR7,4.4,4.9,4.6
2017,dcid:nuts/TR7,4.6,4.8,4.7
2018,dcid:nuts/TR7,5.4,5.3,5.4
2019,dcid:nuts/TR7,4.7,5.1,4.9
2006,dcid:nuts/TR71,2.5,2.9,2.7
2007,dcid:nuts/TR71,1.4,2.2,1.8
2008,dcid:nuts/TR71,0.9,1.8,1.4
2009,dcid:nuts/TR71,1.6,2.2,1.9
2010,dcid:nuts/TR71,2.1,2.9,2.5
2011,dcid:nuts/TR71,2.1,2.6,2.3
2012,dcid:nuts/TR71,3.1,3.6,3.4
2013,dcid:nuts/TR71,3.1,3.4,3.3
2014,dcid:nuts/TR71,4.5,5.3,4.9
2015,dcid:nuts/TR71,3.9,5.3,4.6
2016,dcid:nuts/TR71,3.5,4.5,4.0
2017,dcid:nuts/TR71,3.2,4.3,3.7
2018,dcid:nuts/TR71,4.5,4.8,4.7
2019,dcid:nuts/TR71,4.4,3.6,4.0
2006,dcid:nuts/TR72,1.1,2.1,1.6
2007,dcid:nuts/TR72,1.1,1.6,1.3
2008,dcid:nuts/TR72,1.0,1.2,1.1
2009,dcid:nuts/TR72,1.5,2.1,1.8
2010,dcid:nuts/TR72,1.8,1.7,1.7
2011,dcid:nuts/TR72,1.7,2.8,2.2
2012,dcid:nuts/TR72,4.2,4.1,4.1
2013,dcid:nuts/TR72,4.9,4.0,4.4
2014,dcid:nuts/TR72,3.7,5.5,4.6
2015,dcid:nuts/TR72,4.1,5.5,4.8
2016,dcid:nuts/TR72,4.9,5.1,5.0
2017,dcid:nuts/TR72,5.5,5.1,5.3
2018,dcid:nuts/TR72,6.0,5.6,5.8
2019,dcid:nuts/TR72,4.9,6.0,5.5
2006,dcid:nuts/TR8,1.1,2.0,1.5
2007,dcid:nuts/TR8,1.4,2.1,1.7
2008,dcid:nuts/TR8,1.6,2.1,1.8
2009,dcid:nuts/TR8,2.3,2.9,2.6
2010,dcid:nuts/TR8,3.4,3.4,3.4
2011,dcid:nuts/TR8,3.4,3.2,3.3
2012,dcid:nuts/TR8,3.5,3.4,3.4
2013,dcid:nuts/TR8,4.7,3.9,4.3
2014,dcid:nuts/TR8,5.9,4.6,5.2
2015,dcid:nuts/TR8,6.2,4.7,5.5
2016,dcid:nuts/TR8,6.1,5.1,5.6
2017,dcid:nuts/TR8,5.5,5.3,5.4
2018,dcid:nuts/TR8,5.9,5.0,5.5
2019,dcid:nuts/TR8,5.6,4.8,5.2
2006,dcid:nuts/TR81,2.0,1.8,1.9
2007,dcid:nuts/TR81,0.9,2.6,1.7
2008,dcid:nuts/TR81,1.2,2.0,1.6
2009,dcid:nuts/TR81,2.1,3.4,2.8
2010,dcid:nuts/TR81,4.3,4.0,4.1
2011,dcid:nuts/TR81,4.2,3.9,4.0
2012,dcid:nuts/TR81,4.8,4.9,4.8
2013,dcid:nuts/TR81,6.5,4.4,5.5
2014,dcid:nuts/TR81,6.6,5.3,6.0
2015,dcid:nuts/TR81,6.6,4.8,5.7
2016,dcid:nuts/TR81,6.9,5.3,6.1
