Date,StateCode,value,StatVar,unit
2019-08-01,country/IND,128639999.99999999,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-08-01,country/IND,1767280000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-09-01,country/IND,74870000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-09-01,country/IND,4260000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-09-01,country/IND,277460000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-09-01,country/IND,107280000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-09-01,country/IND,152510000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-09-01,country/IND,90740000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-09-01,country/IND,123490000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-09-01,country/IND,1685230000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
2019-10-01,country/IND,75490000.0,Monthly_Generation_Fuel_NaturalGas,CubicMeter
