udise_district_code,udise_block_code,block_name
0806,udiseCode/080609,Bansur
3602,udiseCode/360227,Banswada
3615,udiseCode/361507,Banswada
0828,udiseCode/082810,Banswara
2816,udiseCode/281645,Bantumilli
2924,udiseCode/292401,Bantwal
3606,udiseCode/360621,Bantwaram
3624,udiseCode/362412,Bantwaram
0815,udiseCode/081510,Baori
0815,udiseCode/081501,Bap
2817,udiseCode/281757,Bapatla
0815,udiseCode/081511,Bapini
0607,udiseCode/060706,Bapoli
2816,udiseCode/281626,Bapulapadu
0937,udiseCode/093701,Bar
1909,udiseCode/190904,Barabani
1926,udiseCode/192602,Barabani
0946,udiseCode/094616,Barabanki City
1914,udiseCode/191405,Barabazar
1035,udiseCode/103524,Barachatti
0965,udiseCode/096514,Barachawar
0936,udiseCode/093604,Baragaon
0967,udiseCode/096702,Baragaon
0611,udiseCode/061101,Baragudha
0960,udiseCode/096017,Barahaj
0960,udiseCode/096016,Barahaj Nagar Kshetra
0966,udiseCode/096607,Barahani
1029,udiseCode/102902,Barahara
1023,udiseCode/102310,Barahat
1025,udiseCode/102514,Barahiya
0510,udiseCode/051001,Barakot
2725,udiseCode/272502,Baramati
2112,udiseCode/211203,Baramba
2204,udiseCode/220402,Baramkela
0102,udiseCode/010202,Baramulla
0831,udiseCode/083101,Baran
1911,udiseCode/191141,Baranagar Municipality
2112,udiseCode/211204,Baranga
1507,udiseCode/150705,Barapansury
0602,udiseCode/060204,Barara
1010,udiseCode/101006,Barari
2107,udiseCode/210703,Barasahi
1911,udiseCode/191102,Barasat - I
1911,udiseCode/191103,Barasat - Ii
1911,udiseCode/191123,Barasat Municipality
1015,udiseCode/101512,Barauli
1020,udiseCode/102008,Barauni
1815,udiseCode/181501,Barbaruah
1026,udiseCode/102629,Barbigha
2106,udiseCode/210615,Barbil Mpl
2113,udiseCode/211301,Barchana
3001,udiseCode/300102,Bardez
2001,udiseCode/200115,Bardiha
2422,udiseCode/242201,Bardoli
0920,udiseCode/092019,Bareilly Town
2105,udiseCode/210502,Bargaon
2001,udiseCode/200120,Bargarh
2101,udiseCode/210103,Bargarh
2101,udiseCode/210113,Bargarh Mpl
2344,udiseCode/234402,Barghat
3331,udiseCode/333112,Bargur
1028,udiseCode/102818,Barh
0954,udiseCode/095401,Barhani
1009,udiseCode/100905,Barhara Kothi
1016,udiseCode/101602,Barharia
2009,udiseCode/200908,Barharwa
1037,udiseCode/103709,Barhat
2004,udiseCode/200401,Barhi
2024,udiseCode/202401,Barhi
0929,udiseCode/092906,Barh Pur
0931,udiseCode/093105,Barhpura
0808,udiseCode/080802,Bari
2113,udiseCode/211302,Bari
1024,udiseCode/102407,Bariarpur
2309,udiseCode/230904,Barigarh
2107,udiseCode/210704,Baripada
2107,udiseCode/210727,Baripada Mpl
1206,udiseCode/120608,Baririjo
2022,udiseCode/202209,Bariyatu
1913,udiseCode/191303,Barjora
2004,udiseCode/200403,Barkagaon
2024,udiseCode/202403,Barkagaon
2004,udiseCode/200402,Barkatha
0921,udiseCode/092102,Barkhera
1807,udiseCode/180701,Barkhetri
2104,udiseCode/210401,Barkote
0817,udiseCode/081706,Barmer
2321,udiseCode/232103,Barnagar
0918,udiseCode/091809,Barnahal
0320,udiseCode/032001,Barnala
0114,udiseCode/011404,Barnoti
2322,udiseCode/232201,Barod
2351,udiseCode/235101,Barod
0915,udiseCode/091504,Baroli Aheer
0908,udiseCode/090802,Barout
0908,udiseCode/090804,Barout Urban
2101,udiseCode/210104,Barpali
2101,udiseCode/210114,Barpali Nac
1805,udiseCode/180506,Barpeta
1911,udiseCode/191137,Barrackpore Cantonment Board
1911,udiseCode/191108,Barrackpore - I
1911,udiseCode/191109,Barrackpore - Ii
1911,udiseCode/191135,Barrackpore Municipality
0964,udiseCode/096411,Barsathi
2730,udiseCode/273002,Barshi
2705,udiseCode/270504,Barshitakli
1010,udiseCode/101011,Barsoi
1918,udiseCode/191801,Baruipur
1918,udiseCode/191830,Baruipur Municipality
