"MinDate","Units","NumObservations","MinValue","ScalingFactors","MaxDate","observationPeriods","StatVar","MaxValue","NumPlaces","NumObservationsDates","MeasurementMethods"
"2008","[Ton]","15975","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Acetaldehyde_SCC_26_WasteDisposalTreatmentAndRecovery","72.89927845","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","11752","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Pyrene_SCC_28_MiscellaneousAreaSources","54.25706250451073","3227","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16094","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_OxidesOfNitrogen_SCC_28_MiscellaneousAreaSources","17966.1098888067","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","24","0.0","[]","2014","[P1Y]","Annual_Amount_Emissions_Methanol_SCC_21_StationarySourceFuelCombustion","0.018774","14","3","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","2438","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Hexane_SCC_5_WasteDisposal","15.379999999999999","667","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","44","0.0","[]","2008","[P1Y]","Annual_Amount_Emissions_Cobalt_SCC_24_SolventUtilization","NaN","44","1","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15789","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Nickel_SCC_28_MiscellaneousAreaSources","0.1282822605","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","23","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Asbestos_SCC_5_WasteDisposal","0.05369217999999999","11","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","8077","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Hexane_SCC_1_ExternalCombustion","870.4955693300001","1956","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","10515","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_PM2.5_SCC_2_InternalCombustionEngines","2349.419409394","2379","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","476","0.0","[]","2017","[P1Y]","Annual_Amount_Emissions_Chloroform_SCC_24_SolventUtilization","333.28024800000003","177","4","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","46","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Cyanide_SCC_5_WasteDisposal","5.5382","20","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16119","0.45858","[]","2020","[P1Y]","Annual_Amount_Emissions_SCC_24_SolventUtilization","129872.9815610652","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4808","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_VolatileOrganicCompound_SCC_5_WasteDisposal","2650.6666477999997","1176","5","[dcAggregate/EPA_NationalEmissionInventory]"
