Year,geo_ID,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces,Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces
2017,geoId/01103,58506,60434,48744,50070,7386,7938,675,593,349,464,96,69,1256,1300,49936,51295,7977,8538,1253,1207,518,633,120,114
2018,geoId/01103,58661,60555,48729,50045,7463,8042,687,603,364,470,112,81,1306,1314,49964,51284,8091,8660,1275,1238,549,639,141,116
2019,geoId/01103,58797,60833,48879,50198,7476,8130,696,599,355,469,108,85,1283,1352,50095,51464,8092,8778,1273,1233,523,658,148,122
2020,geoId/01103,58904,60979,48839,50227,7557,8178,701,631,363,458,108,86,1336,1399,50109,51540,8227,8842,1267,1263,558,667,141,128
2010,geoId/01105,4971,5593,1594,1606,3322,3945,14,7,20,11,3,2,18,22,1610,1625,3328,3954,24,19,24,16,5,3
2011,geoId/01105,4913,5539,1570,1600,3282,3880,14,7,22,16,3,2,22,34,1586,1632,3292,3900,25,20,28,21,4,6
2012,geoId/01105,4737,5429,1513,1562,3165,3807,15,7,24,16,3,2,17,35,1529,1596,3171,3825,22,22,28,19,5,2
2013,geoId/01105,4701,5304,1503,1525,3137,3710,15,7,27,18,3,2,16,42,1519,1557,3143,3735,21,27,31,23,4,6
2014,geoId/01105,4600,5209,1464,1525,3071,3616,14,8,31,18,3,2,17,40,1477,1562,3082,3636,20,24,34,25,4,2
2015,geoId/01105,4552,5098,1443,1480,3039,3543,14,8,39,22,3,2,14,43,1455,1521,3047,3562,22,24,40,31,3,3
2016,geoId/01105,4493,5045,1434,1480,2990,3495,14,9,36,16,3,2,16,43,1449,1519,2995,3521,24,21,38,25,3,4
2017,geoId/01105,4325,4979,1403,1494,2849,3414,14,9,38,15,3,1,18,46,1420,1537,2859,3437,19,30,41,21,4,2
2018,geoId/01105,4212,4837,1317,1405,2818,3361,16,9,39,15,3,1,19,46,1334,1448,2828,3385,25,26,42,25,3,2
2019,geoId/01105,4162,4778,1317,1403,2762,3294,18,13,40,13,3,3,22,52,1335,1448,2776,3326,29,31,41,23,4,3
2020,geoId/01105,4031,4656,1291,1373,2651,3199,18,14,41,13,3,3,27,54,1315,1422,2668,3231,27,29,45,25,5,4
2010,geoId/01107,9445,10304,5562,5667,3720,4505,13,17,17,20,48,23,85,72,5640,5731,3771,4547,42,44,26,32,52,23
2011,geoId/01107,9264,10093,5453,5562,3642,4399,15,16,17,19,46,22,91,75,5538,5629,3700,4452,46,40,25,27,47,24
2012,geoId/01107,9259,10055,5436,5542,3649,4369,16,15,21,28,45,22,92,79,5523,5617,3714,4420,42,38,28,37,47,24
2013,geoId/01107,9281,10028,5459,5530,3630,4343,20,17,25,33,42,20,105,85,5558,5607,3693,4403,53,45,39,40,43,20
2014,geoId/01107,10076,10207,6018,5671,3872,4385,29,18,22,27,42,20,93,86,6106,5746,3934,4438,57,50,32,38,42,23
2015,geoId/01107,10484,10304,6300,5714,3983,4439,32,19,31,27,42,20,96,85,6389,5790,4045,4493,62,45,41,39,45,23
2016,geoId/01107,10146,10191,6063,5661,3885,4362,30,18,34,28,42,23,92,99,6148,5749,3944,4427,66,46,40,41,42,28
2017,geoId/01107,10097,10127,6039,5650,3855,4311,30,21,34,31,42,23,97,91,6127,5732,3922,4376,57,49,46,40,44,24
2018,geoId/01107,9959,9990,5933,5600,3803,4227,30,19,34,34,42,23,117,87,6040,5681,3889,4277,60,47,45,50,45,24
2019,geoId/01107,10009,9931,5980,5580,3797,4178,33,19,31,35,42,26,126,93,6099,5662,3884,4237,67,46,41,53,46,29
2020,geoId/01107,9902,9891,5901,5544,3771,4167,36,20,33,38,43,25,118,97,6010,5634,3851,4234,65,44,50,50,46,28
2010,geoId/01109,15732,17240,9515,9907,5457,6692,101,100,391,297,17,19,251,225,9730,10089,5572,6805,217,203,444,343,29,36
2011,geoId/01109,15777,17254,9541,9931,5462,6710,107,99,391,266,19,18,257,230,9760,10127,5578,6829,227,212,446,316,29,30
2012,geoId/01109,15892,17333,9496,9900,5595,6793,105,103,422,279,17,14,257,244,9722,10108,5719,6919,216,207,481,328,28,26
2013,geoId/01109,16165,17563,9606,10045,5756,6877,110,104,408,268,16,16,269,253,9842,10262,5881,7016,223,211,463,314,32,30
2014,geoId/01109,15966,17251,9485,9869,5685,6738,113,107,378,265,16,16,289,256,9745,10091,5825,6869,233,215,450,325,26,23
2015,geoId/01109,16087,17431,9483,9885,5784,6851,114,113,384,297,17,14,305,271,9749,10110,5935,7005,238,220,459,350,29,32
2016,geoId/01109,16138,17402,9504,9824,5785,6852,115,114,410,325,15,12,309,275,9771,10062,5936,7001,246,214,480,382,26,29
2017,geoId/01109,16140,17301,9480,9748,5791,6790,119,115,423,342,13,11,314,295,9744,10002,5949,6951,244,228,500,401,27,31
2018,geoId/01109,16102,17288,9458,9727,5770,6853,118,111,426,303,14,14,316,280,9724,9974,5932,6998,240,227,513,356,29,32
2019,geoId/01109,15884,17150,9373,9614,5723,6799,108,117,354,299,13,14,313,307,9642,9883,5883,6960,229,229,426,368,29,33
2020,geoId/01109,15777,17189,9294,9596,5718,6861,111,117,331,290,15,16,308,309,9561,9865,5875,7030,234,224,410,358,34,36
2010,geoId/01111,11113,11824,8762,9166,2147,2447,43,43,22,41,8,2,131,125,8882,9278,2216,2515,102,96,37,58,14,4
2011,geoId/01111,11040,11711,8705,9081,2120,2414,44,44,31,48,7,2,133,122,8825,9187,2190,2487,105,96,45,60,10,7
2012,geoId/01111,10889,11652,8598,9064,2064,2357,41,45,31,45,8,5,147,136,8737,9189,2146,2431,97,99,47,62,15,11
2013,geoId/01111,10949,11609,8602,8970,2109,2384,45,52,35,46,8,8,150,149,8745,9104,2186,2474,107,111,53,61,13,13
2014,geoId/01111,10858,11504,8534,8905,2084,2340,43,53,28,45,8,7,161,154,8679,9044,2178,2424,106,111,52,69,14,12
2015,geoId/01111,10934,11669,8619,9011,2061,2382,44,50,33,55,8,7,169,164,8777,9161,2155,2475,113,110,54,77,11,12
2016,geoId/01111,10923,11592,8596,8947,2072,2361,42,50,42,56,10,7,161,171,8746,9101,2158,2464,114,108,56,81,13,12
2017,geoId/01111,11042,11660,8670,8998,2093,2366,46,58,39,50,13,9,181,179,8836,9163,2198,2470,114,126,61,68,17,15
2018,geoId/01111,11081,11661,8726,9001,2068,2345,49,58,38,55,17,9,183,193,8889,9181,2182,2448,118,130,60,81,24,17
2019,geoId/01111,11078,11703,8722,9063,2054,2309,51,60,45,64,17,9,189,198,8899,9243,2162,2423,127,130,65,94,22,13
2020,geoId/01111,11110,11810,8772,9169,2037,2310,51,62,44,65,16,8,190,196,8943,9354,2146,2426,125,127,70,85,25,18
2010,geoId/01113,25525,27802,14405,14889,10367,12038,132,120,95,156,68,60,458,539,14802,15342,10613,12324,310,339,200,297,93,96
2011,geoId/01113,26496,28388,14827,15174,10801,12245,146,134,122,190,72,66,528,579,15283,15684,11088,12552,339,371,252,323,108,112
2012,geoId/01113,28254,29295,15669,15540,11562,12648,153,155,164,254,78,74,628,624,16220,16083,11907,12984,375,378,329,422,119,123
2013,geoId/01113,29054,30165,15920,15889,12045,13067,150,152,182,301,84,84,673,672,16512,16481,12410,13436,396,402,348,466,130,123
2014,geoId/01113,28888,30422,15568,15778,12235,13449,165,151,169,286,76,85,675,673,16173,16372,12615,13822,389,403,351,465,126,119
2015,geoId/01113,28699,30247,15151,15317,12418,13659,172,167,180,315,88,95,690,694,15770,15913,12798,14048,400,413,368,491,134,139
2016,geoId/01113,28233,30057,14688,15008,12412,13787,167,159,182,313,81,82,703,708,15302,15618,12808,14185,405,407,363,494,125,133
2017,geoId/01113,27520,29614,14159,14528,12267,13852,175,161,198,307,76,80,645,686,14712,15118,12641,14228,387,402,376,482,120,134
2018,geoId/01113,27813,30120,14179,14657,12450,14132,201,168,188,304,74,84,721,775,14817,15328,12864,14572,437,427,392,510,109,137
2019,geoId/01113,27835,30263,14168,14771,12383,14107,215,199,202,305,78,79,789,802,14884,15469,12832,14547,460,464,417,523,119,143
2020,geoId/01113,27763,30474,14059,14794,12397,14296,194,199,213,307,83,87,817,791,14794,15470,12857,14761,451,452,442,510,143,146
2010,geoId/01115,41893,41694,36995,37545,3950,3203,164,143,240,304,31,21,513,478,37471,37972,4161,3404,424,392,323,384,47,43
2011,geoId/01115,42021,41971,37048,37701,4013,3271,145,138,246,318,31,22,538,521,37541,38185,4243,3508,408,400,327,397,54,40
2012,geoId/01115,42359,42420,37297,37999,4068,3395,156,136,263,346,31,25,544,519,37806,38478,4303,3617,421,382,347,436,49,53
2013,geoId/01115,42821,43010,37568,38340,4214,3549,163,149,285,386,33,31,558,555,38103,38851,4450,3812,428,408,372,474,49,51
2014,geoId/01115,42972,43042,37674,38321,4265,3614,159,150,289,372,31,30,554,555,38193,38833,4523,3875,412,411,379,459,40,43
2015,geoId/01115,43274,43295,37912,38518,4288,3623,166,160,332,402,34,30,542,562,38423,39034,4526,3906,406,410,431,495,51,45
2016,geoId/01115,43494,43848,38146,38932,4254,3758,163,161,326,396,32,28,573,573,38682,39464,4510,4035,426,417,420,487,43,45
2017,geoId/01115,43682,44303,38237,39230,4316,3874,161,152,335,411,33,33,600,603,38802,39777,4590,4172,420,417,440,508,50,50
2018,geoId/01115,44092,44750,38473,39513,4416,3931,173,152,356,440,34,36,640,678,39067,40134,4731,4270,445,438,477,556,48,57
2019,geoId/01115,44382,45353,38622,39877,4506,4096,184,166,375,468,33,37,662,709,39249,40528,4811,4454,467,451,498,595,50,65
2020,geoId/01115,44838,45901,38836,40203,4695,4264,203,180,385,476,36,40,683,738,39472,40884,5029,4637,474,475,518,600,55,63
2010,geoId/01117,95948,100088,82612,85285,9951,11258,349,341,1843,2048,67,49,1126,1107,83637,86291,10442,11753,798,774,2200,2395,115,115
2011,geoId/01117,96729,101239,82935,85866,10312,11700,360,355,1884,2119,63,49,1175,1150,84019,86923,10822,12212,817,793,2245,2469,118,118
2012,geoId/01117,98000,102949,83667,86939,10688,12119,384,404,1964,2214,58,50,1239,1223,84818,88051,11234,12661,849,858,2348,2604,113,128
2013,geoId/01117,99268,104820,84529,88240,11008,12550,383,405,2007,2288,53,48,1288,1289,85729,89418,11570,13139,843,881,2402,2686,123,121
2014,geoId/01117,100341,106005,85138,89009,11371,12873,396,402,2062,2373,51,57,1323,1291,86370,90197,11967,13464,875,875,2485,2781,114,118
2015,geoId/01117,101408,107639,85675,89911,11797,13417,403,407,2092,2458,60,64,1381,1382,86952,91173,12415,14060,893,878,2543,2906,128,135
2016,geoId/01117,102374,109164,86261,90749,12129,13892,427,423,2074,2573,63,64,1420,1463,87570,92089,12782,14602,938,927,2525,3032,121,138
2017,geoId/01117,103457,110397,86833,91344,12563,14437,431,420,2130,2670,56,61,1444,1465,88176,92682,13239,15151,905,905,2600,3134,121,143
2018,geoId/01117,104282,111595,87170,91893,12941,14976,442,410,2159,2769,63,64,1507,1483,88574,93254,13647,15661,953,904,2661,3256,118,151
2019,geoId/01117,105311,112865,87560,92425,13479,15532,454,420,2207,2854,64,60,1547,1574,89008,93884,14192,16284,966,933,2720,3355,140,141
2020,geoId/01117,106973,114455,88446,93180,14153,16193,456,443,2273,2923,59,59,1586,1657,89919,94710,14877,17002,978,963,2811,3452,147,140
2010,geoId/01119,6238,7492,1573,1801,4632,5631,4,11,9,22,1,2,19,25,1590,1819,4642,5647,14,20,11,26,1,5
2011,geoId/01119,6123,7368,1548,1774,4522,5515,4,11,26,36,1,2,22,30,1565,1801,4534,5531,19,25,26,43,2,3
2012,geoId/01119,6061,7383,1558,1808,4422,5480,5,11,48,48,1,2,27,34,1580,1839,4439,5495,17,26,53,55,2,3
2013,geoId/01119,6069,7329,1588,1787,4375,5421,4,11,74,69,1,2,27,39,1611,1820,4389,5449,13,25,81,72,3,3
2014,geoId/01119,6035,7241,1568,1754,4348,5357,6,11,80,77,2,2,31,40,1596,1789,4366,5380,22,31,82,80,3,3
2015,geoId/01119,6016,7196,1591,1780,4303,5266,6,12,81,96,2,2,33,40,1623,1814,4318,5289,17,30,89,103,4,3
2016,geoId/01119,5926,7047,1579,1731,4241,5153,2,12,69,110,2,2,33,39,1608,1766,4263,5180,16,24,72,114,2,2
2017,geoId/01119,5823,6933,1558,1713,4150,5041,3,13,72,114,2,2,38,50,1591,1757,4176,5072,13,25,79,125,2,7
2018,geoId/01119,5763,6898,1531,1702,4106,5000,3,15,78,124,2,2,43,55,1569,1750,4129,5032,16,36,88,133,5,4
2019,geoId/01119,5647,6711,1513,1675,4003,4827,6,15,79,126,2,2,44,66,1554,1734,4029,4869,20,39,88,136,3,4
2020,geoId/01119,5588,6637,1515,1691,3934,4729,6,16,83,131,2,2,48,68,1560,1750,3965,4772,20,42,88,138,5,7
2010,geoId/01121,40048,42127,26756,27616,12454,13682,161,124,167,176,3,3,507,526,27203,28088,12722,13963,401,375,243,250,27,28
2011,geoId/01121,39804,42071,26562,27553,12371,13654,163,128,169,183,7,5,532,548,27035,28053,12656,13947,409,383,244,248,34,33
2012,geoId/01121,39867,42303,26448,27428,12491,13967,165,139,208,197,8,7,547,565,26938,27936,12796,14271,400,390,288,282,38,38
2013,geoId/01121,39584,42020,26153,27138,12458,13947,173,128,218,201,7,7,575,599,26658,27663,12771,14279,420,397,302,287,39,40
2014,geoId/01121,39503,42047,26061,27006,12418,14072,182,134,241,215,7,5,594,615,26594,27565,12752,14407,435,398,330,308,33,37
2015,geoId/01121,39273,41895,25861,26826,12344,14093,183,128,255,229,8,5,622,614,26419,27367,12704,14438,431,392,355,319,42,41
2016,geoId/01121,38997,41601,25608,26654,12339,13919,180,132,219,248,8,7,643,641,26179,27217,12705,14290,444,406,318,339,32,33
2017,geoId/01121,38742,41450,25363,26451,12333,13925,181,133,207,263,8,6,650,672,25939,27059,12720,14315,433,403,308,372,44,39
2018,geoId/01121,38512,41707,25143,26366,12265,14202,182,135,207,274,10,12,705,718,25778,27012,12692,14620,443,425,329,385,38,51
2019,geoId/01121,38657,41569,25141,26209,12388,14211,195,139,203,290,11,9,719,711,25791,26856,12813,14620,464,433,324,395,44,50
2020,geoId/01121,38555,41430,25056,26089,12348,14184,198,143,211,268,10,7,732,739,25713,26753,12782,14608,462,427,343,391,55,53
2010,geoId/01123,20126,21354,14592,14975,5152,5984,70,69,96,114,9,6,207,206,14772,15154,5264,6099,175,169,122,145,18,14
2011,geoId/01123,20111,21303,14556,14899,5153,5986,66,78,104,120,11,7,221,213,14758,15090,5267,6096,163,175,143,149,24,18
2012,geoId/01123,19956,21104,14439,14792,5113,5885,64,79,93,113,9,6,238,229,14654,14989,5249,6021,166,176,127,144,18,17
2013,geoId/01123,19929,21110,14322,14705,5207,5953,64,78,96,124,9,6,231,244,14519,14916,5327,6102,161,184,135,156,32,13
2014,geoId/01123,19870,21028,14217,14618,5253,5959,70,83,94,122,9,7,227,239,14421,14832,5381,6096,166,173,126,164,18,25
2015,geoId/01123,19753,20875,14104,14542,5221,5880,77,83,106,127,10,7,235,236,14313,14744,5359,6031,166,175,149,163,22,23
2016,geoId/01123,19751,20856,14141,14579,5161,5824,82,84,100,125,10,8,257,236,14372,14780,5302,5973,186,170,142,165,22,23
2017,geoId/01123,19769,20855,14136,14548,5158,5837,81,80,113,135,14,8,267,247,14373,14765,5311,5996,190,169,153,174,34,18
2018,geoId/01123,19715,20835,14036,14487,5180,5859,87,81,117,139,14,9,281,260,14286,14722,5353,6019,199,185,167,177,29,22
2019,geoId/01123,19565,20772,13940,14471,5128,5801,90,82,109,134,14,10,284,274,14201,14708,5295,5971,194,184,154,178,30,34
2020,geoId/01123,19458,20675,13881,14356,5075,5788,89,92,110,141,13,10,290,288,14147,14606,5249,5973,192,185,153,192,28,36
2010,geoId/01125,94508,100500,65408,66506,26549,31475,336,303,1232,1204,77,63,906,949,66202,67356,27009,31972,670,674,1504,1469,124,111
2011,geoId/01125,95282,101506,65636,66747,27017,32111,332,299,1281,1287,68,62,948,1000,66488,67639,27489,32620,678,659,1565,1568,117,125
2012,geoId/01125,96148,102736,65863,67172,27547,32790,315,317,1367,1369,70,63,986,1025,66762,68076,28044,33324,663,688,1658,1668,114,123
2013,geoId/01125,97211,103981,65989,67485,28274,33513,343,328,1484,1511,65,63,1056,1081,66924,68442,28818,34083,710,716,1787,1816,128,119
2014,geoId/01125,98208,105020,66291,67781,28869,34114,344,315,1544,1600,64,62,1096,1148,67292,68803,29432,34732,721,702,1863,1931,108,120
2015,geoId/01125,98918,106035,66361,67933,29426,34904,348,310,1566,1624,62,64,1155,1200,67400,69001,30042,35549,711,710,1918,1963,115,140
2016,geoId/01125,99652,107085,66413,68072,29935,35695,376,334,1638,1669,63,64,1227,1251,67531,69185,30580,36387,756,733,1996,2022,126,130
2017,geoId/01125,100226,107623,66463,67968,30322,36287,393,331,1680,1660,66,67,1302,1310,67632,69126,31026,37022,802,732,2074,2044,131,140
2018,geoId/01125,100518,108089,66452,67974,30520,36695,412,320,1724,1672,76,76,1334,1352,67660,69187,31247,37441,812,732,2125,2074,137,155
2019,geoId/01125,101165,109156,66543,68210,31001,37457,414,319,1781,1714,68,69,1358,1387,67778,69461,31728,38227,818,735,2203,2127,151,155
2020,geoId/01125,101215,109543,66322,68026,31181,37896,425,302,1812,1780,81,70,1394,1469,67599,69344,31930,38716,851,733,2230,2215,140,157
2010,geoId/01127,32658,34337,30092,31617,1886,2048,155,130,96,121,40,23,389,398,30451,31989,2061,2249,365,328,141,168,46,30
2011,geoId/01127,32475,34111,29882,31362,1877,2044,152,136,110,131,41,23,413,415,30271,31749,2065,2254,370,332,149,168,58,34
2012,geoId/01127,32244,33866,29600,31068,1888,2067,153,132,118,145,43,23,442,431,30016,31465,2093,2296,384,330,165,192,53,38
2013,geoId/01127,32106,33684,29439,30844,1890,2084,162,145,128,143,42,23,445,445,29855,31257,2102,2324,380,343,172,185,59,40
2014,geoId/01127,31854,33500,29161,30600,1887,2105,163,153,140,164,41,23,462,455,29606,31018,2114,2353,386,345,183,225,50,43
2015,geoId/01127,31641,33309,28942,30389,1844,2081,173,147,161,174,43,24,478,494,29385,30855,2094,2359,397,354,209,219,56,40
2016,geoId/01127,31549,33010,28772,30062,1871,2105,186,159,161,173,44,25,515,486,29263,30512,2126,2377,420,357,216,230,63,42
2017,geoId/01127,31240,32689,28490,29762,1851,2077,186,150,166,180,40,24,507,496,28956,30221,2114,2361,423,353,225,235,60,43
2018,geoId/01127,31096,32605,28345,29689,1837,2057,187,155,150,185,41,24,536,495,28854,30154,2114,2335,430,356,211,244,59,34
2019,geoId/01127,31079,32601,28294,29675,1839,2066,192,157,154,187,43,27,557,489,28820,30134,2132,2341,437,356,215,241,63,46
2020,geoId/01127,30731,32412,27931,29476,1806,2066,198,154,163,183,44,29,589,504,28492,29950,2120,2361,451,353,223,228,61,44
2010,geoId/01129,8676,8951,5792,5789,2118,2284,679,746,5,13,5,9,77,110,5858,5889,2150,2330,727,809,19,35,7,12
2011,geoId/01129,8526,8830,5696,5752,2077,2236,654,707,16,16,6,6,77,113,5768,5852,2106,2279,699,775,27,33,11,11
2012,geoId/01129,8445,8702,5687,5686,2012,2179,623,700,33,24,8,6,82,107,5756,5774,2045,2231,669,766,50,42,12,12
2013,geoId/01129,8274,8624,5550,5610,1968,2183,612,689,49,28,7,6,88,108,5631,5708,2001,2226,665,746,66,48,8,10
2014,geoId/01129,8267,8601,5545,5580,1924,2167,627,699,71,28,9,6,91,121,5627,5685,1964,2217,675,762,84,52,13,12
2015,geoId/01129,8212,8619,5503,5601,1904,2145,609,708,90,28,10,7,96,130,5583,5708,1941,2204,662,777,111,48,17,18
2016,geoId/01129,8136,8471,5453,5526,1904,2084,590,687,88,29,10,7,91,138,5539,5641,1941,2148,639,762,101,57,15,15
2017,geoId/01129,8074,8410,5429,5521,1889,2036,570,686,83,32,10,7,93,128,5511,5632,1923,2086,624,752,105,59,19,17
2018,geoId/01129,8011,8325,5373,5479,1871,1975,570,691,82,36,10,8,105,136,5469,5591,1907,2031,628,766,104,64,16,20
2019,geoId/01129,7931,8348,5358,5457,1812,2000,565,700,86,38,10,10,100,143,5449,5582,1851,2061,620,776,102,64,15,21
2020,geoId/01129,7802,8174,5262,5344,1777,1949,559,686,88,40,9,11,107,144,5357,5472,1817,2014,615,751,108,72,15,20
2010,geoId/01131,5460,6100,1525,1584,3898,4486,6,8,1,3,2,0,28,19,1549,1601,3910,4498,19,16,8,4,2,0
2011,geoId/01131,5407,6031,1485,1552,3881,4445,6,10,2,5,2,0,31,19,1513,1570,3898,4452,19,22,8,7,3,0
2012,geoId/01131,5320,5984,1508,1575,3766,4367,5,11,4,6,2,0,35,25,1537,1598,3785,4379,21,22,12,12,2,1
2013,geoId/01131,5299,5849,1502,1547,3740,4260,6,11,8,5,2,0,41,26,1535,1570,3762,4275,23,23,15,8,6,0
2014,geoId/01131,5218,5732,1478,1514,3678,4169,8,13,9,8,2,0,43,28,1520,1538,3698,4182,24,29,21,11,4,1
2015,geoId/01131,5195,5705,1473,1513,3655,4135,10,13,9,9,2,0,46,35,1511,1543,3682,4152,32,26,18,17,3,2
2016,geoId/01131,5157,5703,1469,1513,3615,4124,10,14,14,14,2,0,47,38,1510,1547,3635,4146,32,28,24,20,5,2
2017,geoId/01131,5100,5604,1467,1493,3553,4046,9,15,13,10,2,0,56,40,1511,1530,3581,4065,37,26,31,20,6,4
2018,geoId/01131,5018,5574,1429,1456,3495,4050,10,14,17,12,2,0,65,42,1477,1493,3528,4078,41,28,35,17,8,2
2019,geoId/01131,4910,5486,1396,1450,3415,3970,9,15,15,10,2,0,73,41,1451,1487,3454,3990,40,32,39,18,4,4
2020,geoId/01131,4792,5414,1379,1460,3308,3882,9,15,14,9,2,0,80,48,1444,1505,3349,3908,50,33,32,17,6,2
2010,geoId/01133,11977,12435,11605,12085,59,57,105,90,25,43,32,17,151,143,11737,12219,112,110,198,181,50,55,36,20
2011,geoId/01133,11989,12373,11583,12013,85,69,106,86,29,44,31,16,155,145,11731,12146,133,117,203,172,50,69,37,20
2012,geoId/01133,11932,12262,11524,11909,83,66,105,86,28,43,31,16,161,142,11671,12036,132,118,207,177,49,57,38,22
2013,geoId/01133,11919,12271,11504,11893,87,75,104,88,28,43,31,17,165,155,11657,12034,142,133,201,180,54,63,42,23
2014,geoId/01133,11905,12236,11476,11842,92,79,109,92,28,44,31,16,169,163,11635,11985,155,139,207,191,49,67,31,22
2015,geoId/01133,11810,12119,11371,11719,103,82,105,91,28,51,31,16,172,160,11527,11858,171,147,199,183,56,71,37,23
2016,geoId/01133,11811,12100,11354,11690,110,78,107,94,33,54,32,16,175,168,11516,11836,170,137,209,197,59,80,37,24
2017,geoId/01133,11717,12036,11259,11605,106,95,109,96,33,52,32,16,178,172,11420,11763,162,161,218,198,59,75,42,24
2018,geoId/01133,11670,12020,11209,11574,109,102,110,93,35,51,32,16,175,184,11369,11735,173,177,213,203,62,72,41,25
2019,geoId/01133,11657,12043,11157,11573,131,107,104,95,32,52,32,17,201,199,11342,11757,198,181,220,213,65,77,42,21
2020,geoId/01133,11554,11954,11068,11486,124,107,110,91,31,54,31,16,190,200,11244,11672,189,186,225,192,56,88,33,27
