District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Srinagar,013,2011-03,2052,719,8.3,25510,24060,9565,9309,9534,21445,,,
Udhampur,014,2011-03,7891,668,84.4,13445,7233,12642,11802,11979,11630,,,
Bokaro,322,2011-03,34584,277,102.6,48251,13401,48479,47647,47114,43860,,449,45
Chatra,323,2011-03,17963,117,97.1,22784,9486,22083,20172,18263,13314,,,
Deoghar,324,2011-03,28748,446,105.3,34673,23236,34158,33591,34234,197088,,110,5
Dhanbad,325,2011-03,40093,216,103,62767,23971,61595,59593,60462,51081,,305,27
Dumka,326,2011-03,24427,357,99.1,30711,21249,30472,29547,28976,26702,,500,17
Giridih,329,2011-03,39648,530,97.8,55930,15896,57471,53215,51073,37159,,523,8
Godda,330,2011-03,21510,243,99.9,31765,9694,30382,26895,24529,20521,,103,4
Gumla,331,2011-03,20969,308,100.2,22495,11638,22644,22863,22437,19877,,90,74
Hazaribagh,332,2011-03,33125,371,100.3,37143,22322,36425,34320,31950,26703,,423,59
Jamtara,333,2011-03,17347,258,99.1,19042,10359,17418,16781,16400,15998,,4,1
Khunti,606,2011-03,11265,115,97.3,11858,10534,12182,12173,12091,12080,,,50
Koderma,334,2011-03,14578,133,102.8,16865,8136,14253,13181,11817,9214,,20,18
Latehar,335,2011-03,18447,165,100.7,19674,8483,20231,19178,18613,11918,,,53
Lohardaga,336,2011-03,9724,117,102,11890,6440,10695,10368,9809,9011,,1178,3
Pakur,337,2011-03,15557,134,101.8,21737,11182,22054,19640,18336,18120,,9,
Palamu,338,2011-03,36489,403,99.7,48529,29308,47035,45877,44039,35096,,132,40
West singhbhum,343,2011-03,31186,248,101.1,35028,16850,38153,36850,35862,32087,,291,53
East singhbum,327,2011-03,33591,437,100.1,44848,28112,41481,41447,40846,37238,,641,233
Ramgarh,607,2011-03,14475,430,101.8,17566,11067,17278,15940,15184,14977,,286,
Ranchi,339,2011-03,53709,792,104.3,60543,42276,57234,54259,54431,45617,,668,32
Sahebganj,340,2011-03,19431,325,98.6,29124,12920,29319,26406,24472,19785,,176,76
Saraikela kharsawan,341,2011-03,22170,274,99.2,22677,9364,24336,24349,24843,20001,,87,59
Simdega,342,2011-03,11710,151,99.2,12618,5350,12691,12450,12167,11179,,5,
Bagalkote,524,2011-03,36940,766,102.5,46321,29802,44004,43480,46005,43462,,47,233
Bengaluru rural,526,2011-03,11395,64,104,15339,12412,16692,16718,18038,17077,,,44
Bengaluru urban,525,2011-03,50833,762,121.4,124818,108016,251192,121003,125929,123402,,5,27
Belagavi,527,2011-03,71327,1007,114,88450,76444,89201,87012,87823,79572,,88,514
Ballari,528,2011-03,48328,1074,105.1,64259,45605,59237,57611,62017,58229,,3,484
Bidar,529,2011-03,31383,410,110.9,40764,35571,34192,32707,34302,31357,,114,257
Chamarajanagara,531,2011-03,12000,190,97.2,14431,10551,14300,14070,14256,13449,,34,93
Chikkaballapura,630,2011-03,19183,349,102.8,23650,20480,23347,23070,24339,22348,,6052,84
Chikkamagaluru,532,2011-03,13334,405,131.6,16065,14427,15714,16072,16310,15618,,24,43
Chitradurga,533,2011-03,23871,409,110.9,29719,17809,28204,28190,29014,28241,,296,208
Dakshina kannada,534,2011-03,21104,432,99.4,24665,20061,27567,25955,26095,24806,,11,117
Davangere,535,2011-03,25542,322,116.7,33157,30400,32783,32748,34343,30049,,57,139
Dharwad,536,2011-03,30806,786,114.9,45819,35063,46198,39564,41022,38186,,493,173
Gadag,537,2011-03,17221,619,116.3,21765,17997,21842,21821,22728,21636,,11,201
Kalaburagi,538,2011-03,54724,988,105.7,65851,52120,60323,58613,61200,58455,,305,343
Hassan,539,2011-03,24245,159,118.1,29631,27164,28294,28126,28874,27891,,44,124
Haveri,540,2011-03,25756,535,106.7,34226,29319,33142,32110,32969,31597,,34,111
Kodagu,541,2011-03,7640,96,115.3,7704,6190,7642,7861,7745,7720,,2,22
Kolar,542,2011-03,22301,252,102.3,27674,26665,28327,28191,29517,26780,,89,92
Koppal,543,2011-03,28101,783,103.3,32431,30353,31171,31014,30870,30296,,836,334
Mandya,544,2011-03,19965,252,103.1,23818,22609,27765,26081,26900,26115,,40,108
Mysuru,545,2011-03,34038,486,118.9,42725,36232,43893,43862,44582,42720,,32,204
Raichur,546,2011-03,42325,1118,127.6,43316,36343,42469,40567,41384,39212,,30,364
Ramanagara,631,2011-03,10805,52,112.2,16756,12922,17882,17901,18515,17353,,6,58
Shivamogga,547,2011-03,27687,124,102.7,33010,27343,29728,30315,30710,29701,,20,180
Tumakuru,548,2011-03,34336,763,107.5,46035,37414,44051,43787,45593,43173,,25,150
Udupi,549,2011-03,13356,194,108.1,15139,14774,15067,15207,14950,14313,,13,55
Uttara kannada,550,2011-03,20308,384,105.3,20831,19217,21195,20931,21143,19350,,110,126
Yadgir,635,2011-03,24845,558,120.5,32431,22954,32162,31434,31560,31293,,526,132
Alappuzha,554,2011-03,20678,51,100.5,21469,20854,26679,26173,25730,25836,,88,90
Ernakulam,555,2011-03,38057,95,99.8,40098,39451,43278,43959,43791,42049,,175,137
Idukki,556,2011-03,13833,59,100.5,14558,14611,19680,19095,18584,14359,,,35
Kozhikode,561,2011-03,51857,447,99.7,50873,48643,53848,52177,51270,49098,,91,603
Kannur,557,2011-03,41035,270,100.4,42100,41252,41686,40748,42168,40938,,413,80
Kasaragod,558,2011-03,20328,31,100.5,20379,15595,23637,23725,23095,22519,,93,76
Kollam,559,2011-03,34540,61,100.3,34883,34882,38368,37564,36901,38071,,12,56
Kottayam,560,2011-03,25274,159,100.2,26566,26367,29905,28846,29074,28801,,34,92
Malappuram,562,2011-03,82885,394,100,83853,65865,82726,76653,71653,64484,,34,59
