District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Palakkad,563,2011-03,37554,97,100.4,38712,35905,45455,45659,43498,40902,,83,106
Pathanamthitta,564,2011-03,14541,60,100.5,15830,15763,18228,17807,17223,15735,,5,8
Thiruvananthapuram,565,2011-03,43492,358,99.8,44050,44099,48689,47974,47545,46858,,29,18
Thrissur,566,2011-03,46156,61,100.4,49739,45972,46376,47107,46709,44926,,45,8
Wayanad,567,2011-03,14522,109,99.7,15051,13659,14369,14079,13961,13416,,130,57
Lakshadweep district,553,2011-03,480,34,202.5,583,582,766,785,678,751,,16,5
Agar malwa,667,2011-03,,,,,,,,,,,,
Alirajpur,639,2011-03,22237,228,98,21961,9932,21184,20829,20910,21645,,,296
Anuppur,390,2011-03,14259,414,97.4,14088,11709,17065,17310,16863,16749,,,382
Ashoknagar,391,2011-03,18148,334,98.3,18176,17164,22185,21212,20808,19992,,,392
Balaghat,392,2011-03,29847,804,97.7,32479,22502,31101,30869,30196,28819,,88,1145
Barwani,393,2011-03,36634,646,98.3,34305,24988,35147,34934,34885,31218,,1,944
Betul,394,2011-03,31045,568,98.6,30722,16283,30697,30114,29863,29500,,40,682
Bhind,395,2011-03,33435,380,104.1,30833,29208,39607,38782,38209,40213,,,921
Bhopal,396,2011-03,47671,578,99,59807,49480,50999,49356,46327,47361,,22,235
Burhanpur,397,2011-03,16254,91,99.5,15917,12272,20241,19189,18441,18879,,,101
Chhatarpur,398,2011-03,43756,816,98.4,42191,29853,45676,42646,40964,39765,,,1120
Chhindwara,399,2011-03,42604,631,100.3,39013,25361,41250,40453,40117,43364,,,298
Damoh,400,2011-03,27590,482,98.6,27949,21453,27632,27303,26570,26557,,1,344
Datia,401,2011-03,14010,243,95.7,14698,10199,13171,12519,12402,12296,,,522
Dewas,402,2011-03,31955,417,98.7,33787,30535,40814,40369,40321,37055,,,419
Dhar,403,2011-03,47153,755,98.5,50993,30029,54436,52413,53451,52530,,1,560
Dindori,404,2011-03,15239,282,98.3,15543,6591,15176,14829,14321,14293,,,433
Guna,406,2011-03,31496,569,98.3,27803,28058,33571,32110,30749,30115,,28,829
Gwalior,407,2011-03,38551,303,99.5,57677,19509,58176,54263,55560,51762,,13,257
Hoshangabad,409,2011-03,24247,405,98.6,22418,17503,24401,24215,23834,23075,,6,318
Indore,410,2011-03,81189,363,99.6,78329,66867,84685,82779,79542,79785,,,68
Jabalpur,411,2011-03,48806,728,99.2,53647,40368,48356,46392,45293,49655,,179,766
Jhabua,412,2011-03,32456,540,99,34272,21734,30108,29482,30237,30707,,,499
Katni,413,2011-03,28916,619,98.1,26564,21365,27173,25502,24779,24395,,,731
East nimar,405,2011-03,34121,305,99.1,33857,17861,34420,34180,33876,33912,,,636
Khargone,414,2011-03,40319,692,98.4,39855,27049,44281,44359,45192,43987,,131,463
Mandla,415,2011-03,20039,320,98.5,21324,8622,19798,19198,19198,19942,,7,530
Mandsaur,416,2011-03,29230,433,98.5,30211,29006,35219,34765,34288,34589,,2,421
Morena,417,2011-03,42038,609,98.6,41710,39706,43604,40948,39565,40060,,20,484
Narsinghpur,418,2011-03,27620,419,100.3,26792,19789,23551,22637,26852,26480,,2,310
Neemuch,419,2011-03,14820,263,98.3,15257,12212,18245,17908,18667,18398,,,236
Panna,420,2011-03,21705,499,97.9,21591,15365,23177,22408,21596,21896,,41,384
Raisen,421,2011-03,28601,345,98.8,28986,25750,33853,33287,34090,34003,,1,131
Rajgarh,422,2011-03,28878,737,98.5,30545,22886,34827,34399,33246,32466,,173,409
Ratlam,423,2011-03,34364,706,98.3,32939,33438,36104,34475,34582,34757,,,360
Rewa,424,2011-03,54010,678,98.8,52055,34560,52154,50077,48291,51067,,,424
Sagar,425,2011-03,59083,884,98.8,61409,36544,60865,59188,58179,50721,,,219
Satna,426,2011-03,40537,698,98.3,41990,35809,50036,49102,48777,46565,,,1528
Sehore,427,2011-03,32982,341,99,36910,27250,34558,34080,36388,35336,,,869
Seoni,428,2011-03,23899,621,98.1,23197,21193,24357,23799,23651,23805,,,877
Shahdol,429,2011-03,27582,737,97.4,28429,14616,27122,26040,25108,25986,,4,299
Shajapur,430,2011-03,28215,495,98.5,26890,23306,37839,37716,37816,35070,,89,279
Sheopur,431,2011-03,16899,281,98.4,15977,13510,16717,16059,15434,15360,,,240
Shivpuri,432,2011-03,38113,554,98.7,37376,37240,42365,40945,40572,42311,,,427
Sidhi,433,2011-03,31801,299,99.1,31045,24605,30726,30008,30571,29083,,,115
Singrauli,638,2011-03,31639,322,99,30203,25756,28003,25597,24349,27348,,347,201
Tikamgarh,434,2011-03,28946,384,98.8,27602,19359,34986,35086,34155,35461,,26,497
Ujjain,435,2011-03,34988,936,97.7,35477,33881,43299,43505,43510,42277,,59,846
Umaria,436,2011-03,14408,355,98,14529,12305,13227,12685,12551,12912,,18,353
Vidisha,437,2011-03,29964,427,98.7,29540,22781,33660,31985,30688,31258,,203,69
Ahmednagar,466,2011-03,92610,887,100.6,97688,59458,92635,87484,85629,88380,,9,1116
Akola,467,2011-03,36970,330,102.5,35666,23521,31097,30628,31798,29177,,40,441
Amravati,468,2011-03,53151,1133,109.8,48845,37769,46160,44852,44221,43087,,11,1126
Bhandara,471,2011-03,15896,308,87.9,18564,12869,18780,18513,18351,17697,,,
Beed,470,2011-03,41653,511,103.5,45653,37316,47944,45880,44630,41223,,,625
Mumbai,482,2011-03,169247,2430,93.9,180798,160338,188802,179468,198044,178050,,30,6479
Buldhana,472,2011-03,45887,644,98.6,42364,26453,45540,46200,48075,44408,,,1137
Chandrapur,473,2011-03,37818,750,109,35559,19313,36483,35655,35617,34399,,,969
Dhule,474,2011-03,51855,172,99.5,42636,24953,40728,38159,39160,38834,,,745
Gadchiroli,475,2011-03,21529,388,114.9,18749,8418,17442,17574,17871,16559,,,418
Gondia,476,2011-03,17506,457,98.3,23136,14867,19932,19796,20218,19580,,,486
Hingoli,477,2011-03,19184,324,98.4,20009,18769,23610,22489,21644,20861,,,311
Jalgaon,478,2011-03,72744,798,102.6,77894,50941,74764,70383,71210,69341,,,900
Jalna,479,2011-03,42332,407,99.3,43745,20426,42254,42014,43739,43313,,,953
Kolhapur,480,2011-03,59476,593,99.6,63568,52855,62740,61998,62396,63064,,1,1197
Latur,481,2011-03,52007,327,100.2,49585,44159,47470,45668,45103,42033,,,555
Nagpur,484,2011-03,48386,760,98.9,79161,47400,81358,79313,77834,77841,,,810
Nanded,485,2011-03,63948,1547,97.9,68232,59531,67806,64679,63324,57173,,,1628
Nandurbar,486,2011-03,31475,914,98.7,31918,18172,32605,31272,32440,29366,,,955
Nashik,487,2011-03,107513,1658,103,122795,73476,113648,106800,107135,107898,,1,1129
Osmanabad,488,2011-03,28234,338,98.8,31623,20899,29766,28596,28399,25956,,,217
Palghar,665,2011-03,,,,,,,,,,,,
Parbhani,489,2011-03,31530,969,98.8,39182,21194,37259,34450,32472,33554,,,733
Pune,490,2011-03,141996,2223,100.9,156960,118055,156512,155831,155334,151112,,158,2664
Ratnagiri,492,2011-03,21733,256,99.2,20993,18677,19107,19726,20434,19546,,,394
Sangli,493,2011-03,50657,593,97.9,52279,43187,50393,49027,49420,48019,,422,941
Satara,494,2011-03,49567,617,99.3,56845,38105,50806,49488,50280,48578,,,905
Sindhudurg,495,2011-03,9578,143,99.1,9545,8636,9269,9490,9336,9375,,33,102
Solapur,496,2011-03,76834,912,105.5,75899,53054,79416,74596,72515,68735,,161,806
Thane,497,2011-03,161451,1152,105.4,203956,173898,191268,189827,195202,192945,,,1666
Washim,499,2011-03,19668,178,89.2,20501,15327,20127,20075,20061,18753,,,322
Yavatmal,500,2011-03,47404,547,100,48053,23685,49277,49088,48999,45847,,,934
Bishnupur,252,2011-03,1505,4,99.9,4468,846,4461,4022,3632,3412,,,1
Chandel,253,2011-03,1646,1,100,2454,287,2583,2509,2553,2273,,,
Churachandpur,254,2011-03,3826,39,99.9,4655,206,4984,4445,3696,3687,,,11
Imphal east,255,2011-03,1853,,100,9372,1214,9444,9039,8722,7859,,,5
Imphal west,256,2011-03,15998,193,99.9,11286,760,10628,10024,9297,8882,,13,5
Senapati,257,2011-03,4702,18,99.8,7416,943,7283,7576,7056,7054,,,28
Tamenglong,258,2011-03,939,4,99.7,2065,443,2117,1886,1600,1525,,,
Thoubal,259,2011-03,1903,5,99.7,8242,538,8433,7618,6918,5845,,,1
Ukhrul,260,2011-03,1388,31,97.9,2068,357,1977,1836,1680,1498,,,9
East garo hills,273,2011-03,4972,55,100,8977,2889,9246,8780,7810,7255,,,41
East jaintia hills,657,2011-03,,,,,,,,,,,,
East khasi hills,274,2011-03,22211,688,99.2,20318,13738,16662,15554,14232,11880,,13,946
Ri bhoi,276,2011-03,5277,55,99.2,6556,1598,7119,6582,6203,5526,,,64
South garo hills,277,2011-03,2070,21,100,3568,1181,3764,3448,2951,2900,,,59
South west garo hills,663,2011-03,,,,,,,,,,,,
South west khasi hills,658,2011-03,,,,,,,,,,,,
West garo hills,278,2011-03,15974,343,98,16927,4770,17015,16679,15670,15579,,,452
West jaintia hills,275,2011-03,11388,324,97.9,13017,3811,13111,11888,10777,10574,,,318
West khasi hills,279,2011-03,8291,195,106.3,10459,2042,11317,10361,9629,9477,,,194
Champhai,262,2011-03,2610,16,99.4,2982,57,2999,3058,3049,2840,,455,94
Kolasib,263,2011-03,1503,6,99.6,1860,10,1856,1810,1758,1424,,,47
Lawngtlai,264,2011-03,1479,11,99.5,1628,3,1694,1667,1590,1466,,807,26
Lunglei,265,2011-03,3080,18,99.4,2709,,2798,2938,3007,2668,,,131
Mamit,266,2011-03,1392,9,99,1569,,1544,1518,1468,1530,,,27
Saiha,267,2011-03,1435,19,98.4,1381,,1446,1469,1415,1334,,,108
Serchhip,268,2011-03,1120,3,99.6,1227,38,1214,1257,1227,1212,,,37
Dimapur,244,2011-03,3843,54,98.6,5089,4557,4247,4002,3765,3481,,,
Kiphire,614,2011-03,702,10,98.6,769,674,1081,1021,965,1031,,1,
Kohima,245,2011-03,2287,21,99.6,2671,1888,2488,2459,2378,2045,,,
Longleng,615,2011-03,679,1,99.9,891,584,918,926,859,1217,,,
Mokokchung,246,2011-03,1262,27,98,1482,953,1524,1593,1570,1255,,,9
Mon,247,2011-03,1012,5,99.6,1609,1404,2051,1834,1750,1400,,,
Peren,613,2011-03,891,15,98.3,1407,830,1961,1513,1390,1218,,4,
Phek,248,2011-03,1831,17,99.1,2233,1600,2469,2408,2351,2357,,,
Tuensang,249,2011-03,1804,10,99.4,2174,1095,2493,2369,2171,2381,,,
Wokha,250,2011-03,1706,3,99.8,1839,1772,1769,1914,1884,1388,,,
Zunheboto,251,2011-03,967,8,99.2,1207,660,1321,1239,1205,981,,,
Anugul,344,2011-03,19320,477,97.7,25339,19072,22316,22898,23561,22098,,599,667
Balangir,345,2011-03,30878,1200,96.3,32911,18196,29830,29465,28410,28371,,817,1464
Baleshwar,346,2011-03,34743,652,98.3,37738,29489,42007,40933,40220,38727,,214,623
Bargarh,347,2011-03,18572,517,97.4,21670,6720,22282,22255,22677,21424,,1342,799
Boudh,349,2011-03,7958,186,98.1,8056,4056,8414,8450,8453,7669,,30,172
Bhadrak,348,2011-03,21906,386,98.3,29054,16858,28142,28338,28988,26815,,281,403
Cuttack,350,2011-03,50711,1201,97.7,44830,20374,40316,40869,41193,39457,,575,341
Deogarh,351,2011-03,3969,127,97.2,5890,1820,5418,5525,5778,5459,,105,163
Dhenkanal,352,2011-03,17166,463,97.7,20440,11531,19642,19564,19465,18670,,2338,468
Gajapati,353,2011-03,10183,197,99.1,13228,6060,13108,12989,12832,11915,,9,239
Ganjam,354,2011-03,53085,1042,98.1,64504,44618,60084,60362,59209,58313,,478,528
Jagatsinghapur,355,2011-03,13550,295,98,16483,10740,16093,16197,16022,15154,,21,180
Jajapur,356,2011-03,29707,527,98.3,33033,26037,33750,33638,32820,29484,,568,728
Jharsuguda,357,2011-03,6906,88,98.9,6978,6575,8961,9180,9603,9803,,23,274
Kalahandi,358,2011-03,26308,1061,96.1,28228,9924,28788,28332,27725,27418,,515,1550
Kandhamal,359,2011-03,14195,559,96.2,15445,9968,15198,14670,14378,13868,,1,692
Kendrapara,360,2011-03,18616,381,98,21994,13357,23429,23393,23091,21961,,72,454
Kendujhar,361,2011-03,33377,883,97.5,39368,15248,35607,35223,34845,32977,,129,1142
Khordha,362,2011-03,29689,369,98.9,38007,24854,33710,33308,32659,31857,,238,220
Koraput,363,2011-03,24266,802,96.9,25904,10020,27291,26637,26591,26488,,49,1246
Malkangiri,364,2011-03,14321,572,96.4,14987,5290,14338,14061,13967,13625,,4,1125
Mayurbhanj,365,2011-03,46545,1378,97.2,50271,23905,46123,45437,45574,42758,,18,1510
Nabarangpur,366,2011-03,11707,439,96.6,13836,3558,13672,13747,14035,13029,,1008,1749
Nayagarh,367,2011-03,11738,198,98.4,16520,8270,15681,15920,16087,15596,,332,392
Nuapada,368,2011-03,13985,439,97.1,14443,7516,12652,12316,12262,12367,,117,644
Puri,369,2011-03,15489,356,97.9,23346,10726,22971,23419,23475,23071,,219,296
Rayagada,370,2011-03,17876,709,96.3,18855,6827,18237,18020,18066,17043,,14,1927
Sambalpur,371,2011-03,16577,518,97.1,20033,15080,17097,17316,17551,16913,,37,709
Sonepur,372,2011-03,9575,195,98.2,11639,7827,9945,10018,10032,9928,,296,160
Sundargarh,373,2011-03,28890,899,97.1,36140,19164,33475,34215,34359,33387,,48,1004
Karaikal,598,2011-03,4088,35,97.9,3922,3944,2818,2695,2591,2573,,809,
Mahe,599,2011-03,758,,100.5,571,565,514,548,544,586,,,
Pondicherry,600,2011-03,36830,884,98.1,32651,31996,13511,12346,12385,11439,,5021,243
Yanam,601,2011-03,600,7,100,616,616,637,627,632,567,,,
Amritsar,027,2011-03,39497,832,98.5,46600,33826,44290,42647,41785,36949,,,256
Barnala,605,2011-03,8472,92,99.3,9244,5808,9467,9210,9106,8740,,,18
Bathinda,028,2011-03,20803,267,99.1,23110,18275,22709,22555,22471,21122,,,3
Faridkot,029,2011-03,9219,228,98.3,10654,7393,10366,10071,9797,9439,,686,
Fatehgarh sahib,030,2011-03,7112,43,99.6,9841,5583,9448,9377,9329,9340,,77,28
Fazilka,651,2011-03,,,,,,,,,,,,
Firozepur,031,2011-03,28179,357,99.3,34584,23055,34756,33432,32098,30437,,,4
Gurdaspur,032,2011-03,33590,671,98.5,37462,18270,35735,34584,33460,32073,,,383
Hoshiarpur,033,2011-03,23459,654,97.7,27460,22945,25407,25367,25280,24658,,,265
Jalandhar,034,2011-03,29701,339,98.9,33828,26369,34570,34036,34302,32686,,12,13
Kapurthala,035,2011-03,9171,186,89.5,14397,7135,15164,14789,14359,14127,,138,81
Ludhiana,036,2011-03,48185,495,99.1,62576,50815,60775,58365,59421,56249,,43,22
Mansa,037,2011-03,11876,170,99,12393,7685,12394,11911,11503,11018,,,
Moga,038,2011-03,13488,261,88.1,16115,8114,16046,15607,15821,14757,,,61
S.a.s nagar,608,2011-03,8135,65,97.3,13084,10460,14021,13819,13548,13069,,,10
Sri muktsar sahib,039,2011-03,15629,171,99.2,14850,8401,13881,13358,13025,13113,,6,222
Shahid bhagat singh nagar,040,2011-03,9091,161,99.4,9906,7664,9414,9352,9621,9533,,1,26
Pathankot,662,2011-03,,,,,,,,,,,,
Patiala,041,2011-03,25722,252,99.5,32532,21099,29978,28419,28292,28128,,,
Rupnagar,042,2011-03,10547,178,98.7,12839,10106,11988,11745,11989,11926,,50,10
Sangrur,043,2011-03,20118,189,99.8,27418,12803,26262,25754,25824,24979,,,2
Tarn taran,609,2011-03,19346,668,97.1,19600,15933,19522,19016,18566,18021,,,483
Ajmer,086,2011-03,64658,1429,99.4,62669,35748,68347,67361,68115,65532,,1,765
Alwar,087,2011-03,71015,1311,99,71070,35205,85425,82420,83503,78981,,10,684
Banswara,088,2011-03,42633,1261,98.1,40825,32157,43739,42471,42594,40350,,,1182
Baran,089,2011-03,23721,539,104,23127,20251,27534,26827,26652,26374,,7,372
Barmer,090,2011-03,56283,1128,105.1,55796,18362,57877,54998,52851,53273,,,217
Bharatpur,091,2011-03,50112,962,98.9,47493,37376,59653,59561,65086,62560,,49,281
Bhilwara,092,2011-03,47888,977,98.1,47887,13673,50829,50224,51918,50685,,10,539
Bikaner,093,2011-03,45754,474,99,45733,21132,68274,64688,66713,64355,,2,167
Bundi,094,2011-03,21676,464,98,21513,18453,26419,26297,25114,24695,,408,778
Chittorgarh,095,2011-03,26700,711,98.7,26458,14081,36126,35180,36137,35644,,5,244
Churu,096,2011-03,49061,585,98.9,49061,13360,50776,49855,49561,48120,,,150
Dausa,097,2011-03,30729,380,110.3,30729,13753,34553,33154,33592,32113,,26,288
Dholpur,098,2011-03,25955,424,98.4,25955,21639,29131,28655,29561,28535,,48,418
Dungarpur,099,2011-03,30355,875,97.4,30219,15055,29457,29101,29302,27200,,3,516
Ganganagar,100,2011-03,32779,672,98.5,32779,21570,40559,39024,40522,39561,,,284
Hanumangarh,101,2011-03,21649,96,99.6,21649,7060,31604,28091,32775,30061,,,448
Jaipur,102,2011-03,137119,1579,99.2,156438,77061,143798,133952,131715,126701,,6,822
Jaisalmer,103,2011-03,14273,401,98.6,13923,7870,16722,16489,16393,16824,,34,58
Jalore,104,2011-03,38870,781,98.5,38649,7547,39053,38936,40016,39504,,12,292
Jhalawar,105,2011-03,28038,658,99.2,27684,19540,30741,30297,31382,29154,,6,724
Jhunjhunu,106,2011-03,30763,339,102.3,30374,10262,40313,38797,40520,41196,,6,108
Jodhpur,107,2011-03,94758,988,109,74763,33292,98255,95771,89984,89205,,12,154
Karauli,108,2011-03,31867,550,98.8,31788,20876,32796,32440,32957,31369,,,557
Kota,109,2011-03,32424,701,97.9,32424,28150,38689,38013,38341,36436,,27,401
Nagaur,110,2011-03,52675,875,99.2,52675,24801,74282,69304,71949,69171,,6,230
Pali,111,2011-03,46549,1383,117.4,43762,27094,52018,48531,50776,50418,,14,300
Rajsamand,112,2011-03,21734,451,96.1,21295,10953,22950,21845,22948,22434,,2,342
Sawai madhopur,113,2011-03,27998,273,106.9,27934,17782,32424,30983,30432,28943,,30,54
Sikar,114,2011-03,58957,485,99.5,58957,12833,60367,59066,64941,61392,,5,176
Sirohi,115,2011-03,22904,492,98.5,22440,7973,27248,27227,28183,27090,,5,396
Tonk,116,2011-03,25607,575,97.9,25536,17682,29607,29181,31195,30004,,2,721
Udaipur,117,2011-03,59218,1552,102.9,59218,33740,69043,65018,68183,63570,,58,1215
Ariyalur,610,2011-03,11319,191,101.4,11222,11206,11492,11313,11235,11310,,,110
Chennai,568,2011-03,77513,75,65.1,67058,70068,77715,77238,79759,76681,,,605
Coimbatore,569,2011-03,49957,426,86.7,50594,50590,49964,49390,49438,49515,,,261
Cuddalore,570,2011-03,42487,332,80.9,43080,43022,40181,38903,37903,37181,,,427
Dharmapuri,571,2011-03,25707,353,97,25554,25587,25985,25881,25771,25613,,,686
Dindigul,572,2011-03,32622,439,92,35170,35288,35379,35088,34906,34566,,,476
Erode,573,2011-03,28188,137,121.6,28027,27810,27851,27828,27762,27503,,,149
Kanchipuram,574,2011-03,52636,320,99.7,54347,54121,53623,52994,52933,53268,,,381
Kanniyakumari,575,2011-03,22574,152,99,22962,22840,23661,23547,23407,23309,,9,157
Karur,576,2011-03,14165,188,97.1,12868,12868,13675,13543,13421,13265,,,300
Krishnagiri,577,2011-03,29106,377,98.7,29220,28228,29482,29003,29038,28619,,,512
Madurai,578,2011-03,50165,447,153.5,50552,50550,51828,51627,51866,51302,,1,722
Nagapattinam,579,2011-03,18524,173,96.9,22070,22539,23259,22411,22282,22007,,,
Namakkal,580,2011-03,20923,260,98.7,20765,20773,21783,21728,21299,21299,,1,345
The nilgiris,587,2011-03,8773,78,99.7,9224,9225,9403,9481,9712,9291,,2555,41
Perambalur,581,2011-03,8028,80,101.5,7750,7715,8308,8173,8079,8071,,,58
Pudukkottai,582,2011-03,23069,413,98,23913,24334,25624,25083,24991,24481,,1936,118
Ramanathapuram,583,2011-03,21696,274,168.1,21863,21813,22767,22744,22523,22413,,1075,289
Salem,584,2011-03,56155,551,99.1,55670,55681,55831,55596,55686,55569,,167,973
Sivaganga,585,2011-03,20334,207,99,20515,20369,21227,21005,20698,20478,,440,317
Thanjavur,586,2011-03,36096,429,97.4,35621,36047,37192,37173,36961,36694,,547,404
Theni,588,2011-03,18539,235,115.6,16904,18493,18621,18575,18399,18329,,,293
Thiruvallur,589,2011-03,51822,424,99.2,52251,52251,54463,54288,54227,54032,,,475
Thiruvarur,590,2011-03,19247,201,185.2,19315,19315,19618,19654,19499,19570,,,232
Tiruchirappalli,591,2011-03,39360,464,98.8,42878,43390,40455,39859,39766,38559,,125,489
Tirunelveli,592,2011-03,46394,501,100.5,41322,41376,42472,42258,41774,41661,,315,558
Tiruppur,634,2011-03,33066,225,123,32990,32997,32973,32943,32886,32858,,,354
Tiruvannamalai,593,2011-03,45098,736,98.4,44450,44372,44019,43029,42234,40477,,,490
Tuticorin,594,2011-03,23602,210,100.3,23749,23559,23996,23559,23554,23312,,2,380
Villupuram,596,2011-03,54472,1047,100.1,57580,56407,61288,60275,60679,59782,,206,585
Virudhunagar,597,2011-03,30693,385,128,30539,30536,30504,30387,30059,30535,,,406
Dhalai,269,2011-03,4757,114,98.2,5708,248,6819,5531,4825,4781,,1,34
Gomati,654,2011-03,6024,106,98.5,6092,855,7361,6450,5981,5691,,,2
Khowai,652,2011-03,3168,44,98.6,4207,1175,5256,4889,4656,4228,,4,4
North tripura,270,2011-03,4148,148,98.8,6511,547,8309,6871,5823,6612,,,41
Sepahijala,653,2011-03,4553,80,98.8,6111,524,7572,7327,6988,6507,,1,23
South tripura,271,2011-03,4052,49,99.2,5482,514,7233,6537,5826,5881,,,10
Unakoti,655,2011-03,4113,182,95.9,4488,746,5178,4538,3989,3907,,33,87
West tripura,272,2011-03,16943,381,103.2,16803,10798,13336,12915,12275,11103,,4,9
Agra,118,2011-03,104664,866,140.3,111079,41118,108532,102280,99899,97842,,,
Aligarh,119,2011-03,47371,366,70.1,82433,36343,85932,75694,76997,76406,,,20
Prayagraj,120,2011-03,117575,653,111.3,150282,38862,151457,138725,130486,114509,,,
Ambedkar nagar,121,2011-03,68641,59,100.4,53710,51904,59330,56304,54993,52360,,260,19
Auraiya,122,2011-03,30790,56,98.6,35114,11999,37145,35404,33645,30299,,,
Azamgarh,123,2011-03,82130,371,100.8,111144,39862,105988,99315,95604,83301,,,
Baghpat,124,2011-03,26924,87,90.7,40128,24346,40577,40439,39817,38595,,,
Bahraich,125,2011-03,65444,54,95,62036,29927,67726,63709,60330,61371,,,
Ballia,126,2011-03,69080,152,99.4,76561,36368,76980,74272,67262,65322,,,
Banda,128,2011-03,38610,768,97.9,42721,23985,45306,40633,38846,35498,,,389
Barabanki,129,2011-03,72943,563,78.8,81479,44814,79322,73645,70568,67567,,,
Bareilly,130,2011-03,106733,327,103.7,120639,32310,133116,125368,118082,92565,,,3
Basti,131,2011-03,69184,240,102.4,70556,22142,70104,68696,66545,64662,,,99
Bijnor,132,2011-03,85889,510,116.4,93330,46753,93461,91081,88636,78439,,,
Budaun,133,2011-03,81506,1055,95.7,96520,60280,98420,90093,89787,82308,,,
Bulandshahr,134,2011-03,63491,336,92.3,100422,49804,103258,96525,99313,98937,,,25
Amethi,640,2011-03,,,,,,,,,,,,
Chandauli,135,2011-03,41705,246,97.1,58113,22858,61644,53153,47117,47661,,,
Chitrakoot,136,2011-03,21366,1279,93.6,24156,16412,23935,22509,21131,19377,,1222,
Deoria,137,2011-03,72069,785,100.7,74513,26394,74585,70840,70021,69225,,,
Etah,138,2011-03,38004,165,121.2,36606,18026,42147,34779,32140,30504,,,12
Etawah,139,2011-03,34911,284,89.3,42760,21043,41606,37036,36526,29839,,,1
Farrukhabad,141,2011-03,26644,318,79.2,45428,21140,47978,43753,48062,37417,,,15
Fatehpur,142,2011-03,59816,313,108.8,67863,33249,67075,62907,64882,65172,,2,85
Gautam buddha nagar,144,2011-03,37829,60,144.7,42579,40005,40386,37188,37604,36623,,,
Ghaziabad,145,2011-03,86135,156,166.9,114546,59585,111923,104541,108038,116981,,,
Ghazipur,146,2011-03,83017,291,75,94268,34458,94289,90995,95623,69278,,,
Gonda,147,2011-03,77912,371,91.8,89947,26354,90513,84711,79456,74239,,,
Gorakhpur,148,2011-03,90117,1348,100.7,110784,43346,107963,100730,97248,93053,,5,
Hapur,661,2011-03,,,,,,,,,,,,
Hardoi,150,2011-03,108592,1586,105,109293,74960,105386,97013,93148,90317,,,172
Hathras,163,2011-03,40970,329,99.7,41297,22247,39950,38487,41099,40828,,,24
Jalaun,151,2011-03,28803,445,100.1,43216,24913,43153,42095,41099,35657,,,
Jaunpur,152,2011-03,108671,433,96.4,130170,46228,130050,122528,123151,119842,,,54
Jhansi,153,2011-03,40644,306,108.5,55411,23468,57937,57592,55343,55742,,,9
Amroha,154,2011-03,36414,386,91.4,44619,26152,42472,40499,40110,38297,,,
Kannauj,155,2011-03,33195,211,86,47337,19853,49398,47913,45262,46870,,,
Kanpur dehat,156,2011-03,36499,80,94.1,52321,35213,46560,44681,46254,28600,,,
Kanpur nagar,157,2011-03,65769,874,110.1,140683,68025,134004,129084,126091,115002,,167,15
Kasganj,633,2011-03,32394,84,101.4,43102,18323,43996,43212,43380,43374,,,8
Kaushambi,158,2011-03,41286,185,101.2,41390,20567,39834,38009,36700,35118,,,
Kushi nagar,160,2011-03,85789,355,95.6,105439,17951,97707,88998,82111,133571,,92,3
Kheri,159,2011-03,77824,128,80.5,89281,38592,96584,87191,81981,72996,,,
Lalitpur,161,2011-03,30268,262,100.1,32358,18511,29662,26973,31336,30261,,,132
Lucknow,162,2011-03,91083,166,150.6,127473,68018,129873,122955,124315,116885,,,
Maharajganj,164,2011-03,53593,537,97.8,60704,24816,63053,58579,53755,50989,,,
Mahoba,165,2011-03,13399,103,85.1,17425,8859,19398,17562,16001,13994,,,
Mainpuri,166,2011-03,29414,85,100.8,52993,26139,55735,52904,54670,49719,,,1
Mathura,167,2011-03,58622,96,83.6,56393,24589,58894,54842,52420,43054,,,
Mau,168,2011-03,54787,520,91.9,63362,20914,61048,60607,61280,52891,,,
Meerut,169,2011-03,106909,493,174.9,97934,44603,109707,97830,97747,96269,,,11
Mirzapur,170,2011-03,60344,537,91.2,67113,23723,66797,60693,57610,50761,,,
Moradabad,171,2011-03,34653,526,46.1,111777,60458,107388,98360,97109,98201,,,
Muzaffarnagar,172,2011-03,80551,1278,147.2,106556,67091,102205,96276,122454,119306,,,
Pilibhit,173,2011-03,39096,12989,94.5,44025,16586,40996,38688,39179,40865,,,1
Rae bareli,175,2011-03,65866,780,52.7,94979,42437,97809,93048,92246,73050,,,
Rampur,176,2011-03,26671,86,78.7,50491,20607,46474,35639,43143,42573,,299,3
Saharanpur,177,2011-03,87874,1868,158.3,86896,47710,84710,82285,77213,80920,,,
