fips,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,l150_1,l150_2,l150_3,l150_4,l150_5,l150_6,l150_7,l150_8,year
dcs:geoId/05015,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05017,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05019,24450.0,27950.0,31450.0,34950.0,37750.0,40550.0,43350.0,46150.0,45843.75,52406.25,58968.75,65531.25,70781.25,76031.25,81281.25,86531.25,2006
dcs:geoId/05021,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05023,23750.0,27150.0,30550.0,33900.0,36650.0,39350.0,42050.0,44750.0,44531.25,50906.25,57281.25,63562.5,68718.75,73781.25,78843.75,83906.25,2006
dcs:geoId/05025,25550.0,29200.0,32850.0,36500.0,39400.0,42350.0,45250.0,48200.0,47906.25,54750.0,61593.75,68437.5,73875.0,79406.25,84843.75,90375.0,2006
dcs:geoId/05027,23900.0,27350.0,30750.0,34150.0,36900.0,39650.0,42350.0,45100.0,44812.5,51281.25,57656.25,64031.25,69187.5,74343.75,79406.25,84562.5,2006
dcs:geoId/05029,24200.0,27650.0,31100.0,34550.0,37300.0,40100.0,42850.0,45600.0,45375.0,51843.75,58312.5,64781.25,69937.5,75187.5,80343.75,85500.0,2006
dcs:geoId/05031,25950.0,29650.0,33350.0,37050.0,40000.0,43000.0,45950.0,48900.0,48656.25,55593.75,62531.25,69468.75,75000.0,80625.0,86156.25,91687.5,2006
dcs:geoId/05033,25300.0,28950.0,32550.0,36150.0,39050.0,41950.0,44850.0,47750.0,47437.5,54281.25,61031.25,67781.25,73218.75,78656.25,84093.75,89531.25,2006
dcs:geoId/05035,32100.0,36700.0,41250.0,45850.0,49500.0,53200.0,56850.0,60500.0,60187.5,68812.5,77343.75,85968.75,92812.5,99750.0,106593.75,113437.5,2006
dcs:geoId/05037,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05039,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05041,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05043,24000.0,27450.0,30900.0,34300.0,37050.0,39800.0,42550.0,45300.0,45000.0,51468.75,57937.5,64312.5,69468.75,74625.0,79781.25,84937.5,2006
dcs:geoId/05045,30850.0,35300.0,39700.0,44100.0,47650.0,51150.0,54700.0,58200.0,57843.75,66187.5,74437.5,82687.5,89343.75,95906.25,102562.5,109125.0,2006
dcs:geoId/05047,23800.0,27200.0,30600.0,34000.0,36700.0,39450.0,42150.0,44900.0,44625.0,51000.0,57375.0,63750.0,68812.5,73968.75,79031.25,84187.5,2006
dcs:geoId/05049,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05051,24700.0,28250.0,31750.0,35300.0,38100.0,40950.0,43750.0,46600.0,46312.5,52968.75,59531.25,66187.5,71437.5,76781.25,82031.25,87375.0,2006
dcs:geoId/05053,27150.0,31050.0,34900.0,38800.0,41900.0,45000.0,48100.0,51200.0,50906.25,58218.75,65437.5,72750.0,78562.5,84375.0,90187.5,96000.0,2006
dcs:geoId/05055,24000.0,27450.0,30900.0,34300.0,37050.0,39800.0,42550.0,45300.0,45000.0,51468.75,57937.5,64312.5,69468.75,74625.0,79781.25,84937.5,2006
dcs:geoId/05057,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05059,24150.0,27600.0,31050.0,34500.0,37250.0,40000.0,42800.0,45550.0,45281.25,51750.0,58218.75,64687.5,69843.75,75000.0,80250.0,85406.25,2006
dcs:geoId/05061,22850.0,26100.0,29400.0,32650.0,35250.0,37850.0,40500.0,43100.0,42843.75,48937.5,55125.0,61218.75,66093.75,70968.75,75937.5,80812.5,2006
dcs:geoId/05063,24850.0,28400.0,31950.0,35500.0,38350.0,41200.0,44050.0,46900.0,46593.75,53250.0,59906.25,66562.5,71906.25,77250.0,82593.75,87937.5,2006
dcs:geoId/05065,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
dcs:geoId/05067,22400.0,25600.0,28800.0,32000.0,34550.0,37100.0,39700.0,42250.0,42000.0,48000.0,54000.0,60000.0,64781.25,69562.5,74437.5,79218.75,2006
