State,isoCode,Date,Count_BirthControlEvent_Vasectomy,Count_BirthControlEvent_Tubectomy,Count_BirthControlEvent_Sterilization,Count_BirthControlEvent_Vasectomy_AsFractionOf_Count_BirthControlEvent_Sterlization,Count_Death_BirthControlSterilization,Count_BirthControlEvent_IUCDInsertion,Count_BirthControlEvent_IUCDInsertion_AsFractionOf_Count_BirthControlEvent,Count_ContraceptiveDistribution_OralPill,Count_ContraceptiveDistribution_Condom
Dadra & Nagar Haveli,IN-DN,2014-03,2.0,1200.0,1202.0,0.2,0.0,504.0,29.5,6910.0,135815.0
Daman & Diu,IN-DD,2014-03,3.0,382.0,385.0,0.8,0.0,252.0,39.6,5763.0,159578.0
Delhi,IN-DL,2014-03,1403.0,19018.0,20421.0,6.9,0.0,57887.0,73.9,208533.0,5361457.0
Goa,IN-GA,2014-03,21.0,2812.0,2833.0,0.7,0.0,1394.0,33.0,64620.0,189712.0
Gujarat,IN-GJ,2014-03,1799.0,263949.0,265748.0,0.7,7.0,556005.0,67.7,1835451.0,21014561.0
Haryana,IN-HR,2014-03,4061.0,68506.0,72567.0,5.6,3.0,218932.0,75.1,892200.0,21690725.0
Himachal Pradesh,IN-HP,2014-03,2119.0,19626.0,21745.0,9.7,0.0,21003.0,49.1,270966.0,6199970.0
Jammu & Kashmir,IN-JK,2014-03,652.0,15587.0,16239.0,4.0,1.0,18764.0,53.6,269964.0,2300931.0
Jharkhand,IN-JH,2014-03,5499.0,106974.0,112473.0,4.9,6.0,92470.0,45.1,800727.0,4222626.0
Karnataka,IN-KA,2014-03,1389.0,309683.0,311072.0,0.4,9.0,179595.0,36.6,1471769.0,12364627.0
Kerala,IN-KL,2014-03,1805.0,96261.0,98066.0,1.8,0.0,56675.0,36.6,70600.0,5070363.0
Lakshadweep,IN-LD,2014-03,0.0,40.0,40.0,0.0,0.0,51.0,56.0,502.0,4899.0
Madhya Pradesh,IN-MP,2014-03,6396.0,354932.0,361328.0,1.8,12.0,383903.0,51.5,3210649.0,16970868.0
Maharashtra,IN-MH,2014-03,17058.0,530603.0,547661.0,3.1,20.0,406619.0,42.6,2753535.0,19196781.0
Manipur,IN-MN,2014-03,129.0,682.0,811.0,15.9,0.0,4776.0,85.5,29972.0,135033.0
Meghalaya,IN-ML,2014-03,14.0,2493.0,2507.0,0.6,0.0,4440.0,63.9,76029.0,427187.0
Mizoram,IN-MZ,2014-03,0.0,1719.0,1719.0,0.0,0.0,2828.0,62.2,64839.0,221834.0
Nagaland,IN-NL,2014-03,15.0,1786.0,1801.0,0.8,0.0,3783.0,67.7,17994.0,174604.0
Odisha,IN-OR,2014-03,1888.0,136804.0,138692.0,1.4,7.0,140159.0,50.3,1817331.0,6534417.0
Puducherry,IN-PY,2014-03,2.0,8742.0,8744.0,0.0,0.0,5569.0,38.9,20307.0,755091.0
Punjab,IN-PB,2014-03,4010.0,60110.0,64120.0,6.3,0.0,216340.0,77.1,1385005.0,31576425.0
