speciesID	reactionID
M_m03123c	R_HMR_4579
M_m01630c	R_HMR_4580
M_m02040c	R_HMR_4580
M_m00180c	R_HMR_4608
M_m02040c	R_HMR_4608
M_m00180c	R_HMR_4575
M_m03103m	R_HMR_4575
M_m01285c	R_HMR_4637
M_m01747c	R_HMR_4637
M_m01755c	R_HMR_4642
M_m02040c	R_HMR_4642
M_m01756m	R_HMR_4643
M_m02040m	R_HMR_4643
M_m01045c	R_HMR_4644
M_m01755c	R_HMR_4644
M_m01645c	R_HMR_4672
M_m02040c	R_HMR_4672
M_m01630c	R_HMR_4676
M_m01756c	R_HMR_4676
M_m01705c	R_HMR_4736
M_m02040c	R_HMR_4736
M_m00922c	R_HMR_4819
M_m02039c	R_HMR_4819
M_m02040c	R_HMR_4819
M_m01371c	R_HMR_5299
M_m03123c	R_HMR_5299
M_m01756c	R_HMR_5352
M_m03123c	R_HMR_5352
M_m01637m	R_HMR_5415
M_m02040m	R_HMR_5415
M_m02486m	R_HMR_5415
M_m01680m	R_HMR_5416
M_m02040m	R_HMR_5416
M_m02486m	R_HMR_5416
M_m02039m	R_HMR_5417
M_m02486m	R_HMR_5417
M_m02555m	R_HMR_5417
M_m01637m	R_HMR_6612
M_m01747m	R_HMR_6612
M_m01637n	R_HMR_6613
M_m01747n	R_HMR_6613
M_m01756m	R_HMR_6621
M_m02040m	R_HMR_6621
M_m02666m	R_HMR_6621
M_m02990n	R_HMR_6622
M_m03130n	R_HMR_6622
M_m01673c	R_HMR_6623
M_m01688c	R_HMR_6623
M_m01673m	R_HMR_6624
M_m01688m	R_HMR_6624
M_m01747c	R_HMR_6627
M_m02039c	R_HMR_6627
M_m02696c	R_HMR_6627
M_m02040c	R_HMR_7744
M_m02807c	R_HMR_7744
M_m00639c	R_HMR_8072
M_m02040c	R_HMR_8072
M_m01632c	R_HMR_8637
M_m02040c	R_HMR_8637
M_m01754c	R_HMR_3965
M_m02040c	R_HMR_3965
M_m01371m	R_HMR_3966
M_m02040m	R_HMR_3966
M_m01424c	R_HMR_3967
M_m01948c	R_HMR_3967
M_m01285c	R_HMR_3968
M_m01754c	R_HMR_3968
M_m01285s	R_HMR_3999
M_m02040s	R_HMR_3999
M_m01285c	R_HMR_4024
M_m01424c	R_HMR_4024
M_m01285m	R_HMR_4026
M_m01424m	R_HMR_4026
M_m01371c	R_HMR_4054
M_m02996c	R_HMR_4054
M_m02040s	R_HMR_4061
M_m03130s	R_HMR_4061
M_m01280m	R_HMR_4083
M_m01371m	R_HMR_4083
M_m02034s	R_HMR_4136
