Date,Location,CumulativePositiveCase
2020-03-01,nuts/ITC41,4
2020-03-01,nuts/ITI32,1
2020-03-01,nuts/ITI34,0
2020-03-01,nuts/ITI35,0
2020-03-01,nuts/ITI33,0
2020-03-01,nuts/ITI31,24
2020-03-01,nuts/ITF22,0
2020-03-01,nuts/ITF21,0
2020-03-01,nuts/ITC18,0
2020-03-01,nuts/ITC17,0
2020-03-01,nuts/ITC13,0
2020-03-01,nuts/ITC16,0
2020-03-01,nuts/ITC15,0
2020-03-01,nuts/ITC11,49
2020-03-01,nuts/ITC14,0
2020-03-01,nuts/ITC12,0
2020-03-01,nuts/ITF47,0
2020-03-01,nuts/ITF48,0
2020-03-01,nuts/ITF44,0
2020-03-01,nuts/ITF46,0
2020-03-01,nuts/ITF45,0
2020-03-01,nuts/ITF43,3
2020-03-01,nuts/ITG27,0
2020-03-01,nuts/ITG26,0
2020-03-01,nuts/ITG28,0
2020-03-01,nuts/ITG25,0
2020-03-01,nuts/ITG14,0
2020-03-01,nuts/ITG15,0
2020-03-01,nuts/ITG17,1
2020-03-01,nuts/ITG16,0
2020-03-01,nuts/ITG13,0
2020-03-01,nuts/ITG12,3
2020-03-01,nuts/ITG18,0
2020-03-01,nuts/ITG19,0
2020-03-01,nuts/ITG11,0
2020-03-01,nuts/ITI18,0
2020-03-01,nuts/ITI14,5
2020-03-01,nuts/ITI1A,0
2020-03-01,nuts/ITI16,0
2020-03-01,nuts/ITI12,1
2020-03-01,nuts/ITI11,3
2020-03-01,nuts/ITI17,0
2020-03-01,nuts/ITI13,1
2020-03-01,nuts/ITI15,0
2020-03-01,nuts/ITI19,3
2020-03-01,nuts/ITH20,0
2020-03-01,nuts/ITI21,2
2020-03-01,nuts/ITI22,0
2020-03-01,nuts/ITC20,0
2020-03-01,nuts/ITH33,0
2020-03-01,nuts/ITH36,105
2020-03-01,nuts/ITH37,0
2020-03-01,nuts/ITH34,43
2020-03-01,nuts/ITH35,24
2020-03-01,nuts/ITH31,2
2020-03-01,nuts/ITH32,3
2020-03-02,nuts/ITF14,0
2020-03-02,nuts/ITF11,0
2020-03-02,nuts/ITF13,0
2020-03-02,nuts/ITF12,5
2020-03-02,nuts/ITF52,0
2020-03-02,nuts/ITF51,0
2020-03-02,nuts/ITH10,1
2020-03-02,nuts/ITF63,0
2020-03-02,nuts/ITF61,1
2020-03-02,nuts/ITF62,0
2020-03-02,nuts/ITF65,0
2020-03-02,nuts/ITF64,0
2020-03-02,nuts/ITF34,0
2020-03-02,nuts/ITF32,0
2020-03-02,nuts/ITF31,0
2020-03-02,nuts/ITF33,17
2020-03-02,nuts/ITF35,0
2020-03-02,nuts/ITH55,3
2020-03-02,nuts/ITH56,0
2020-03-02,nuts/ITH58,1
2020-03-02,nuts/ITH54,29
2020-03-02,nuts/ITH52,61
2020-03-02,nuts/ITH51,212
2020-03-02,nuts/ITH57,2
2020-03-02,nuts/ITH53,8
2020-03-02,nuts/ITH59,19
2020-03-02,nuts/ITH43,0
2020-03-02,nuts/ITH41,0
