observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,measurementMethod
geoId/06,2018,dcid:Amount_Investment_TechnicalAssistance,2050967,USDollar,,
geoId/06,2019,dcid:Amount_Investment_TechnicalAssistance,1048930,USDollar,,
geoId/06,2020,dcid:Amount_Investment_TechnicalAssistance,1050000,USDollar,,
geoId/06,2021,dcid:Amount_Investment_TechnicalAssistance,2092296,USDollar,,
geoId/06,2022,dcid:Amount_Investment_TechnicalAssistance,1669000,USDollar,,
geoId/06,2023,dcid:Amount_Investment_TechnicalAssistance,140000,USDollar,,
geoId/06,2025,dcid:Amount_Investment_TechnicalAssistance,275000,USDollar,,
geoId/08,2012,dcid:Amount_Investment,315534,USDollar,,
geoId/08,2013,dcid:Amount_Investment,1248115,USDollar,,
geoId/08,2014,dcid:Amount_Investment,1164626,USDollar,,
geoId/08,2015,dcid:Amount_Investment,2966215,USDollar,,
geoId/08,2016,dcid:Amount_Investment,5471352,USDollar,,
geoId/08,2017,dcid:Amount_Investment,1526818,USDollar,,
geoId/08,2018,dcid:Amount_Investment,1536058,USDollar,,
geoId/08,2019,dcid:Amount_Investment,3695371,USDollar,,
geoId/08,2020,dcid:Amount_Investment,4694695,USDollar,,
geoId/08,2021,dcid:Amount_Investment,2552399,USDollar,,
geoId/08,2022,dcid:Amount_Investment,13746035,USDollar,,
geoId/08,2023,dcid:Amount_Investment,5646126,USDollar,,
geoId/08,2024,dcid:Amount_Investment,1455680,USDollar,,
geoId/08,2025,dcid:Amount_Investment,4661386,USDollar,,
geoId/08,2014,dcid:Amount_Investment_EconomicAdjustmentAssistance,722643,USDollar,,
geoId/08,2015,dcid:Amount_Investment_EconomicAdjustmentAssistance,1257800,USDollar,,
geoId/08,2016,dcid:Amount_Investment_EconomicAdjustmentAssistance,734080,USDollar,,
geoId/08,2019,dcid:Amount_Investment_EconomicAdjustmentAssistance,136156,USDollar,,
geoId/08,2020,dcid:Amount_Investment_EconomicAdjustmentAssistance,2675651,USDollar,,
geoId/08,2021,dcid:Amount_Investment_EconomicAdjustmentAssistance,500000,USDollar,,
geoId/08,2022,dcid:Amount_Investment_EconomicAdjustmentAssistance,10745047,USDollar,,
geoId/08,2024,dcid:Amount_Investment_EconomicAdjustmentAssistance,593240,USDollar,,
geoId/08,2025,dcid:Amount_Investment_EconomicAdjustmentAssistance,4298386,USDollar,,
geoId/08,2012,dcid:Amount_Investment_ProgramPlanning,112576,USDollar,,
geoId/08,2013,dcid:Amount_Investment_ProgramPlanning,900350,USDollar,,
geoId/08,2014,dcid:Amount_Investment_ProgramPlanning,315300,USDollar,,
geoId/08,2015,dcid:Amount_Investment_ProgramPlanning,50000,USDollar,,
geoId/08,2016,dcid:Amount_Investment_ProgramPlanning,1463500,USDollar,,
geoId/08,2017,dcid:Amount_Investment_ProgramPlanning,214433,USDollar,,
geoId/08,2018,dcid:Amount_Investment_ProgramPlanning,53000,USDollar,,
geoId/08,2019,dcid:Amount_Investment_ProgramPlanning,783000,USDollar,,
geoId/08,2020,dcid:Amount_Investment_ProgramPlanning,735000,USDollar,,
geoId/08,2021,dcid:Amount_Investment_ProgramPlanning,335425,USDollar,,
geoId/08,2022,dcid:Amount_Investment_ProgramPlanning,730500,USDollar,,
geoId/08,2023,dcid:Amount_Investment_ProgramPlanning,630000,USDollar,,
geoId/08,2024,dcid:Amount_Investment_ProgramPlanning,363000,USDollar,,
geoId/08,2025,dcid:Amount_Investment_ProgramPlanning,363000,USDollar,,
geoId/08,2015,dcid:Amount_Investment_PublicWorks,1630915,USDollar,,
geoId/08,2016,dcid:Amount_Investment_PublicWorks,1031960,USDollar,,
geoId/08,2016,dcid:Amount_Investment_RegionalInnovationStrategies,1742092,USDollar,,
geoId/08,2017,dcid:Amount_Investment_RegionalInnovationStrategies,1162385,USDollar,,
geoId/08,2018,dcid:Amount_Investment_RegionalInnovationStrategies,1483058,USDollar,,
geoId/08,2019,dcid:Amount_Investment_RegionalInnovationStrategies,1218531,USDollar,,
geoId/08,2020,dcid:Amount_Investment_RegionalInnovationStrategies,1264044,USDollar,,
geoId/08,2021,dcid:Amount_Investment_RegionalInnovationStrategies,1361973,USDollar,,
geoId/08,2022,dcid:Amount_Investment_RegionalInnovationStrategies,2270488,USDollar,,
geoId/08,2023,dcid:Amount_Investment_RegionalInnovationStrategies,4990828,USDollar,,
geoId/08,2012,dcid:Amount_Investment_TechnicalAssistance,202958,USDollar,,
geoId/08,2013,dcid:Amount_Investment_TechnicalAssistance,347765,USDollar,,
geoId/08,2014,dcid:Amount_Investment_TechnicalAssistance,126683,USDollar,,
geoId/08,2015,dcid:Amount_Investment_TechnicalAssistance,27500,USDollar,,
geoId/08,2016,dcid:Amount_Investment_TechnicalAssistance,499720,USDollar,,
geoId/08,2017,dcid:Amount_Investment_TechnicalAssistance,150000,USDollar,,
geoId/08,2019,dcid:Amount_Investment_TechnicalAssistance,1557684,USDollar,,
geoId/08,2020,dcid:Amount_Investment_TechnicalAssistance,20000,USDollar,,
geoId/08,2021,dcid:Amount_Investment_TechnicalAssistance,355000,USDollar,,
geoId/08,2023,dcid:Amount_Investment_TechnicalAssistance,25298,USDollar,,
geoId/08,2024,dcid:Amount_Investment_TechnicalAssistance,499440,USDollar,,
geoId/09,2012,dcid:Amount_Investment,1391850,USDollar,,
geoId/09,2013,dcid:Amount_Investment,330909,USDollar,,
geoId/09,2014,dcid:Amount_Investment,3432273,USDollar,,
geoId/09,2015,dcid:Amount_Investment,1073594,USDollar,,
geoId/09,2016,dcid:Amount_Investment,1327550,USDollar,,
geoId/09,2017,dcid:Amount_Investment,445176,USDollar,,
geoId/09,2019,dcid:Amount_Investment,633100,USDollar,,
geoId/09,2020,dcid:Amount_Investment,1500000,USDollar,,
geoId/09,2021,dcid:Amount_Investment,697910,USDollar,,
geoId/09,2022,dcid:Amount_Investment,25900442,USDollar,,
geoId/09,2023,dcid:Amount_Investment,210000,USDollar,,
geoId/09,2024,dcid:Amount_Investment,372864,USDollar,,
geoId/09,2025,dcid:Amount_Investment,210000,USDollar,,
geoId/09,2012,dcid:Amount_Investment_EconomicAdjustmentAssistance,367600,USDollar,,
geoId/09,2014,dcid:Amount_Investment_EconomicAdjustmentAssistance,170742,USDollar,,
geoId/09,2020,dcid:Amount_Investment_EconomicAdjustmentAssistance,1500000,USDollar,,
